Name Equatorial Polar Photon-Count
FE01 357.51 127.16 103586
FE02 178.07 80.32 3157
FE03 125.84 32.45 27757
FE04 18.47 151.81 3255
FE05 71.56 119.72 351
FE06 264.76 121.97 401
FE07 325.48 55.99 77490
FE08 304.41 51.75 636
FE09 307.08 168.52 59508
FE10 328.15 51.19 95777
FE11 99.27 33.82 2437
FE12 200.24 28.06 734
FE13 146.46 132.12 35267
FE14 211.96 110.29 11787663
FE15 297.89 112.56 21361
FE16 246.76 113.27 18506
FE17 58.31 80.08 554
FE18 325.34 32.20 3475
FE19 14.65 133.58 16554
FE20 50.45 98.98 1837
FE21 14.21 39.77 482
FE22 358.58 145.74 1244
FE23 174.38 70.77 708
FE24 136.86 117.65 2723
FE25 320.89 101.85 2250
FE26 328.18 52.26 87297
FE27 183.61 68.39 603
FE28 91.13 79.43 505
FE29 290.24 165.29 3332
FE30 78.52 30.25 8076
FE31 53.97 100.52 490
FE32 231.48 111.24 10120656
FE33 22.43 82.65 3005
FE34 272.56 53.54 4238
FE35 272.69 42.17 880390
FE36 245.26 48.43 526
FE37 64.94 19.39 2323
FE38 37.62 142.57 2189
FE39 177.87 79.35 3096
FE40 322.98 130.88 1107
FE41 233.70 40.35 68082
FE42 327.83 57.21 56525
FE43 276.35 129.43 5731
FE44 86.64 62.38 23475
FE45 44.21 101.23 419
FE46 133.51 68.55 117547
FE47 234.84 110.29 7925
FE48 71.65 119.78 347
FE49 138.42 117.71 2763
FE50 72.28 142.71 4560
FE51 147.51 165.44 2529
FE52 36.92 112.04 14596
FE53 147.96 60.98 43823
FE54 269.85 114.15 881
FE55 297.37 46.71 102139
