Name X Y BlueF GreenF RedF Size RadialVelocity
DG0001 1.0241 19.2306 1.267e-16 9.482e-17 4.123e-17 89.4386 1524.78
DG0002 1.1100 19.2787 1.812e-16 1.626e-16 6.606e-17 46.9113 1524.25
DG0003 1.0546 19.3992 2.597e-16 1.921e-16 8.061e-17 54.4111 1522.89
DG0004 0.9062 19.2897 1.095e-25 3.152e-27 1.415e-32 53.6409 1525.01
DG0005 1.0745 19.1814 1.863e-16 1.583e-16 7.537e-17 53.8423 1524.3
DG0006 0.9658 19.1204 1.681e-16 1.593e-16 6.863e-17 54.2403 1521.85
DG0007 1.0736 19.2648 1.227e-16 1.021e-16 4.710e-17 64.3672 1523.26
DG0008 1.0598 19.2732 1.853e-16 1.549e-16 6.512e-17 54.3402 1524.4
DG0055 -21.6249 17.8527 3.171e-16 2.486e-16 1.023e-16 54.9213 1370.61
DG0056 -21.5403 17.9738 1.381e-16 1.230e-16 5.540e-17 46.9878 1370.42
DG0057 -21.6837 17.9210 2.124e-16 1.697e-16 7.692e-17 56.58 1371.36
DG0058 -21.6552 17.8343 1.565e-16 1.191e-16 5.828e-17 66.0364 1371.6
DG0061 28.3212 33.4513 2.189e-15 1.892e-15 6.476e-16 402.823 627.78
DG0062 28.9500 34.3704 5.956e-16 4.983e-16 2.036e-16 200.669 622.84
DG0063 28.0730 33.5341 1.318e-15 9.508e-16 3.915e-16 129.2183 623.0
DG0064 29.1253 34.2763 5.740e-26 1.517e-27 7.026e-33 134.7237 629.28
DG0065 28.1903 33.8235 5.845e-16 4.590e-16 2.104e-16 153.2358 627.24
DG0066 28.6325 34.5443 5.512e-26 1.427e-27 6.412e-33 136.5245 624.82
DG0067 28.5557 34.9452 9.066e-16 7.801e-16 3.528e-16 144.5219 626.09
DG0068 26.7163 33.1283 6.140e-16 5.609e-16 2.459e-16 130.8994 628.53
DG0069 29.0038 32.7728 5.232e-16 4.683e-16 1.844e-16 138.3971 624.55
DG0070 28.1524 32.9640 5.426e-26 1.381e-27 6.666e-33 123.903 625.67
DG0071 28.6793 33.7370 6.975e-16 4.741e-16 2.198e-16 145.1302 622.94
DG0072 28.3401 33.1114 6.478e-16 5.576e-16 2.437e-16 238.2619 624.3
DG0073 27.4747 33.8146 9.144e-16 7.603e-16 3.389e-16 148.0457 626.61
DG0074 28.4752 32.7351 5.842e-16 5.143e-16 2.241e-16 191.6541 624.69
DG0075 29.4372 33.4118 9.472e-16 7.350e-16 3.529e-16 128.9249 629.45
DG0076 29.5272 32.7905 8.531e-16 6.793e-16 3.063e-16 97.5227 628.22
DG0077 28.8332 33.5247 5.606e-26 1.427e-27 6.855e-33 142.8432 621.94
DG0078 28.5793 33.4437 7.020e-16 5.412e-16 2.618e-16 214.8693 629.52
DG0079 27.7916 32.6882 5.267e-26 1.350e-27 7.105e-33 152.1716 624.99
DG0080 27.1805 33.2978 8.565e-16 6.725e-16 3.001e-16 125.9395 627.34
DG0081 29.5519 34.9124 7.869e-16 6.364e-16 3.060e-16 119.4585 625.85
DG0082 28.1265 33.1304 5.856e-16 4.985e-16 2.333e-16 303.6716 629.21
DG0179 -33.2689 9.6878 5.301e-16 3.835e-16 1.423e-16 138.552 1468.86
DG0180 -33.3333 9.8624 1.756e-16 1.460e-16 6.973e-17 57.8274 1474.1
DG0181 -33.4488 9.6289 1.733e-16 1.539e-16 6.131e-17 48.8976 1474.4
DG0182 -32.9054 9.4725 1.966e-16 1.701e-16 7.277e-17 53.6833 1469.34
DG0183 -33.4636 9.9320 1.592e-16 1.329e-16 6.630e-17 55.2429 1473.05
DG0184 -33.3267 9.8275 1.738e-16 1.324e-16 7.021e-17 47.6564 1472.27
DG0185 -33.1227 9.7164 2.731e-16 2.265e-16 9.257e-17 60.3277 1473.81
DG0186 -33.2625 9.6334 1.695e-16 1.310e-16 5.910e-17 59.9917 1470.19
DG0187 -33.4273 9.6444 1.027e-25 2.407e-27 1.295e-32 67.5606 1472.66
DG0188 -33.2887 9.5960 1.266e-16 1.064e-16 5.246e-17 51.7635 1472.02
DG0189 -33.6261 9.6723 1.007e-25 2.582e-27 1.186e-32 57.6981 1470.68
DG0190 -33.3571 9.8433 1.816e-16 1.375e-16 7.496e-17 53.4106 1473.88
DG0191 -33.2830 9.6801 1.756e-16 1.567e-16 6.355e-17 41.6435 1474.54
DG0346 -36.7981 -10.1058 1.341e-16 1.110e-16 5.158e-17 93.8909 1508.01
DG0347 -36.9024 -10.2197 2.402e-16 2.100e-16 8.570e-17 53.3439 1506.41
DG0348 -36.8642 -9.9438 1.869e-16 1.434e-16 6.372e-17 48.8526 1505.94
DG0349 -36.9271 -10.0847 1.166e-16 1.048e-16 4.420e-17 62.8453 1506.16
DG0350 -36.9287 -10.1564 1.830e-16 1.443e-16 6.501e-17 55.3267 1506.31
DG0351 -36.9359 -10.0642 2.004e-16 1.724e-16 7.199e-17 58.1882 1505.82
DG0387 21.8504 36.7776 4.920e-16 4.196e-16 1.876e-16 106.0851 699.31
DG0404 1.5618 17.3507 1.100e-16 9.645e-17 4.702e-17 154.6907 1489.57
DG0405 1.6366 17.4406 1.749e-16 1.407e-16 6.688e-17 47.2049 1491.74
DG0406 1.4107 17.3013 1.083e-25 2.750e-27 1.387e-32 66.9438 1490.21
DG0407 1.6123 17.2830 2.568e-16 1.913e-16 8.199e-17 44.1348 1488.77
DG0408 1.7087 17.2228 1.936e-16 1.528e-16 7.241e-17 63.174 1489.26
DG0409 1.5582 17.4536 1.813e-16 1.565e-16 7.549e-17 65.5311 1490.08
