Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S002131 -43.5362 -34.5654 6.422e-24 2.393e-23 2.549e-22 0.0 80.0 0.0
S002132 -43.6708 -34.6883 2.300e-27 1.843e-26 1.067e-24 0.0 83.03 0.0
S002133 -43.6164 -34.5953 7.388e-22 1.723e-21 7.272e-21 0.0 81.17 0.0
S002134 -43.6333 -34.6485 2.049e-23 5.911e-23 3.726e-22 0.0 83.14 0.0
S002135 -43.6829 -34.6904 9.027e-21 1.602e-20 3.870e-20 0.0 83.29 0.0
S002136 -43.6946 -34.6826 1.088e-20 1.948e-20 4.684e-20 0.0 83.06 0.0
S002137 -43.6236 -34.6463 2.922e-18 3.150e-18 2.627e-18 0.0 81.83 0.0
S002138 -43.5614 -34.587 4.606e-21 3.080e-21 9.930e-22 0.0 80.18 0.0
S002139 -43.6591 -34.6272 3.042e-18 3.310e-18 2.795e-18 0.0 81.9 0.0
S002140 -43.6253 -34.6475 2.301e-22 5.734e-22 2.876e-21 0.0 81.89 0.0
S002141 -43.6558 -34.6661 1.780e-22 4.346e-22 1.961e-21 0.0 82.9 0.0
S002142 -43.6172 -34.6397 1.202e-21 2.497e-21 8.230e-21 0.0 80.65 0.0
S002143 -43.4154 -34.4929 3.328e-21 2.263e-21 7.925e-22 0.0 80.2 0.0
S002144 -43.6329 -34.6513 1.195e-20 2.073e-20 4.521e-20 0.0 82.2 0.0
S002145 -43.6361 -34.6289 4.124e-22 9.065e-22 3.386e-21 0.0 81.66 1.0
S002146 -43.5871 -34.5975 1.981e-24 6.833e-24 6.728e-23 0.0 79.94 0.0
S002147 -43.657 -34.6603 4.786e-19 6.056e-19 6.943e-19 0.0 83.14 0.0
S002148 -43.755 -34.7249 4.435e-25 1.987e-24 3.273e-23 0.0 83.44 0.0
S002149 -43.4515 -34.508 6.805e-22 1.545e-21 6.159e-21 0.001 79.95 0.0
S002150 -43.635 -34.6444 6.176e-19 7.268e-19 7.135e-19 0.0 82.3 0.0
