Name X Y BlueF GreenF RedF Size RadialVelocity
DG0059 -21.5724 -41.1421 8.759e-17 7.344e-17 3.469e-17 48.9325 1838.42
DG0111 -11.1740 -0.0865 3.611e-16 3.259e-16 9.521e-17 114.329 1731.71
DG0112 -11.2669 -0.2152 1.544e-25 4.339e-27 2.032e-32 45.8422 1731.47
DG0113 -11.2617 -0.0702 1.201e-16 1.091e-16 4.992e-17 43.4404 1732.15
DG0114 -11.1906 -0.1470 1.300e-16 1.141e-16 4.800e-17 45.5544 1731.15
DG0115 -11.1746 -0.1714 1.349e-16 9.724e-17 4.025e-17 46.6793 1731.55
DG0116 -11.2994 -0.1123 1.611e-25 4.419e-27 2.125e-32 48.2246 1732.01
DG0117 -11.3141 -0.0978 9.242e-17 7.900e-17 3.362e-17 56.9543 1730.68
DG0118 -11.2205 0.0243 1.343e-16 9.904e-17 5.045e-17 42.355 1731.76
DG0119 -11.2499 -0.0934 1.323e-16 9.642e-17 4.550e-17 41.2764 1731.15
DG0120 -11.2483 -0.1232 1.395e-16 1.181e-16 5.390e-17 39.0202 1732.45
DG0121 -13.9513 -34.6387 1.612e-15 1.110e-15 3.736e-16 227.9252 772.67
DG0122 -14.6287 -34.7948 4.175e-16 3.374e-16 1.448e-16 105.3902 772.89
DG0123 -13.6491 -35.0907 5.651e-16 4.187e-16 1.797e-16 107.7875 773.69
DG0124 -13.9651 -34.4048 4.010e-16 3.341e-16 1.501e-16 230.8518 772.18
DG0125 -13.4912 -34.3450 3.867e-16 3.476e-16 1.470e-16 146.248 773.67
DG0126 -14.3173 -35.4422 5.101e-16 4.414e-16 2.012e-16 100.8937 778.29
DG0127 -14.3476 -35.3746 3.889e-16 3.019e-16 1.416e-16 118.6943 774.77
DG0128 -14.6088 -34.6916 5.392e-26 1.311e-27 7.164e-33 119.0679 772.78
DG0129 -14.4743 -34.5692 5.710e-16 4.198e-16 1.904e-16 90.966 773.05
DG0130 -13.2042 -34.4375 5.134e-16 4.327e-16 1.907e-16 89.749 777.88
DG0131 -13.5052 -34.7695 5.450e-26 1.363e-27 7.271e-33 126.5687 772.21
DG0132 -13.7826 -35.4627 5.417e-16 4.222e-16 2.005e-16 105.2607 776.03
DG0133 -13.5641 -33.6126 5.700e-16 4.592e-16 1.847e-16 86.4138 772.33
DG0134 -13.2600 -34.2422 5.297e-16 4.553e-16 2.006e-16 97.372 774.68
DG0135 -13.5460 -33.9958 8.028e-16 6.700e-16 2.442e-16 101.9834 771.26
DG0136 -14.4527 -35.3909 5.978e-26 1.522e-27 7.156e-33 110.1109 771.8
DG0137 -14.0479 -34.5799 5.543e-16 5.045e-16 2.199e-16 98.4777 778.03
DG0138 -14.5203 -34.8105 5.047e-16 4.902e-16 1.889e-16 89.5053 775.37
DG0139 -13.7861 -33.9229 5.882e-16 4.567e-16 1.950e-16 103.0227 773.57
DG0140 -14.2022 -34.9734 3.707e-16 3.086e-16 1.431e-16 161.4401 772.03
