Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S076600 -3.5434 -31.0742 1.893e-17 1.625e-17 8.799e-18 0.0 140.52 0.0
S076601 -3.5314 -31.021 4.835e-13 3.692e-13 1.537e-13 0.0 147.96 1.0
S076602 -3.5023 -31.045 2.652e-17 2.329e-17 1.319e-17 0.0 145.8 0.0
S076603 -3.4958 -31.0315 1.155e-21 8.431e-22 3.234e-22 0.0 147.1 0.0
S076604 -3.5185 -31.0012 3.587e-22 8.246e-22 3.259e-21 0.0 145.91 0.0
S076605 -3.4716 -31.0448 1.876e-22 4.853e-22 2.512e-21 0.0 145.45 0.0
S076606 -3.469 -31.0271 4.910e-17 4.170e-17 2.174e-17 0.0 142.46 0.0
S076607 -3.4722 -30.9989 1.751e-21 1.235e-21 4.361e-22 0.001 141.34 0.0
S076608 -3.462 -31.0505 1.578e-17 1.437e-17 8.595e-18 0.0 145.04 0.0
S076609 -3.4783 -31.0795 6.841e-13 4.952e-13 1.859e-13 0.0 143.96 0.0
S076610 -3.5047 -31.0199 9.457e-20 1.345e-19 1.940e-19 0.0 147.64 0.0
S076611 -3.519 -31.0607 1.932e-21 1.326e-21 4.729e-22 0.0 143.87 0.0
S076612 -3.478 -31.0175 1.692e-17 1.498e-17 8.269e-18 0.0 143.57 0.0
S076613 -3.5156 -31.0398 7.520e-13 6.511e-13 3.648e-13 0.0 147.9 1.0
S076614 -3.4733 -30.9911 1.721e-20 2.732e-20 5.244e-20 0.0 141.89 0.0
S076615 -3.454 -31.0967 6.235e-22 1.263e-21 3.859e-21 0.0 141.44 0.0
S076616 -3.4687 -31.0611 2.023e-19 2.451e-19 2.642e-19 0.0 143.52 0.0
S076617 -3.5212 -31.0166 6.599e-17 5.392e-17 2.683e-17 0.0 141.48 0.0
S076618 -3.5218 -31.0191 4.861e-19 5.642e-19 5.664e-19 0.0 147.52 0.0
S076619 -3.5136 -31.0396 2.363e-22 5.370e-22 2.094e-21 0.0 145.58 0.0
S076620 -3.4486 -31.0037 9.621e-17 7.441e-17 3.191e-17 0.0 143.28 0.0
S076621 -3.4934 -31.0387 2.241e-20 3.466e-20 6.407e-20 0.0 142.34 0.0
S076622 -3.4514 -30.9589 5.271e-20 7.483e-20 1.112e-19 0.0 144.41 0.0
S076623 -3.5116 -31.0705 5.595e-20 8.114e-20 1.265e-19 0.0 146.81 0.0
S076624 -3.4867 -31.0914 3.428e-16 2.485e-16 9.304e-17 0.0 143.09 0.0
S076625 -3.5216 -31.0131 2.540e-22 5.503e-22 2.049e-21 0.0 143.93 0.0
S076626 -3.5056 -31.0414 4.785e-18 4.777e-18 3.355e-18 0.0 142.55 0.0
S076627 -3.4779 -31.0678 4.134e-24 1.477e-23 1.517e-22 0.0 142.9 0.0
S076628 -3.4988 -31.0256 8.887e-20 1.276e-19 1.902e-19 0.0 145.64 0.0
S076629 -3.4541 -31.073 1.554e-17 1.387e-17 7.745e-18 0.0 141.28 0.0
S076630 -3.4934 -31.0386 5.216e-24 1.605e-23 1.192e-22 0.0 145.89 0.0
S076631 -3.5412 -31.0547 5.203e-22 1.164e-21 4.327e-21 0.0 145.56 0.0
S076632 -3.5048 -31.0173 3.014e-20 4.376e-20 6.706e-20 0.0 142.81 0.0
S076633 -3.4712 -31.0157 5.528e-22 1.276e-21 5.143e-21 0.0 142.64 0.0
S076634 -3.4753 -31.042 2.130e-13 1.450e-13 4.894e-14 0.0 144.69 0.0
S076635 -3.5128 -31.0282 4.201e-21 7.703e-21 1.951e-20 0.0 146.13 0.0
S076636 -3.4956 -31.0665 2.410e-17 4.780e-17 1.420e-16 0.0 146.28 0.0
S076637 -3.4964 -31.0344 7.370e-19 7.893e-19 6.774e-19 0.0 140.46 0.0
S076638 -3.4793 -31.0434 4.955e-19 5.817e-19 5.864e-19 0.0 144.01 0.0
S076639 -3.484 -31.0363 4.851e-20 7.514e-20 1.319e-19 0.0 144.9 0.0
S076640 -3.486 -31.0554 2.333e-22 5.803e-22 2.901e-21 0.0 144.36 0.0
S076641 -3.5033 -31.0265 5.710e-18 1.003e-17 2.318e-17 0.0 143.66 0.0
S076642 -3.5244 -31.0469 2.177e-21 1.471e-21 4.823e-22 0.0 141.79 0.0
S076643 -3.4524 -31.0739 4.877e-18 4.655e-18 3.142e-18 0.0 142.02 0.0
S076644 -3.4605 -31.0226 5.831e-19 7.014e-19 7.136e-19 0.0 143.6 0.0
S076645 -3.4693 -31.0069 5.681e-18 5.720e-18 4.162e-18 0.0 141.73 0.0
S076646 -3.4336 -31.0667 1.515e-17 2.216e-17 3.533e-17 0.0 144.76 0.0
S076647 -3.488 -31.0422 7.432e-18 1.072e-17 1.617e-17 0.0 144.73 0.0
S076648 -3.4876 -31.0594 1.652e-24 6.240e-24 7.132e-23 0.0 144.7 0.0
S076649 -3.4384 -31.0757 1.833e-17 1.620e-17 9.362e-18 0.0 147.25 0.0
S076650 -3.4416 -31.0164 9.470e-19 1.059e-18 9.196e-19 0.0 143.88 0.0
S076651 -3.5228 -31.0226 3.057e-19 4.023e-19 5.113e-19 0.0 145.49 0.0
S076652 -3.4922 -31.0122 1.150e-25 6.010e-25 1.333e-23 0.0 146.07 0.0
S076653 -3.4589 -31.0338 1.820e-17 3.285e-17 8.226e-17 0.0 144.53 0.0
S076654 -3.4605 -31.0127 5.054e-17 4.115e-17 1.982e-17 0.0 146.0 0.0
S076655 -3.4639 -30.9647 2.288e-23 6.340e-23 3.955e-22 0.0 146.52 0.0
S076656 -3.489 -31.0496 1.891e-17 1.662e-17 9.469e-18 0.0 143.15 0.0
S076657 -3.5279 -31.0393 5.633e-14 7.508e-14 9.471e-14 0.0 140.79 0.0
S076658 -3.4799 -31.0339 1.911e-18 2.241e-18 2.157e-18 0.0 142.83 0.0
S076659 -3.5009 -31.0853 2.213e-19 2.861e-19 3.447e-19 0.0 143.2 0.0
S076660 -3.4974 -31.0147 2.115e-18 2.234e-18 1.766e-18 0.0 144.89 0.0
S076661 -3.4833 -30.979 5.929e-20 8.555e-20 1.320e-19 0.0 142.65 0.0
S076662 -3.4511 -31.0807 4.326e-18 4.284e-18 3.104e-18 0.0 148.42 0.0
S076663 -3.4946 -31.0469 1.847e-21 1.273e-21 4.497e-22 0.0 144.34 0.0
S076664 -3.4902 -31.0008 9.415e-20 1.321e-19 1.976e-19 0.0 145.02 0.0
S076665 -3.5156 -31.0016 2.387e-21 4.569e-21 1.203e-20 0.0 147.72 0.0
S076666 -3.4827 -31.0289 3.148e-23 7.901e-23 3.856e-22 0.0 147.66 0.0
S076667 -3.4951 -31.0023 1.630e-22 3.762e-22 1.574e-21 0.001 142.75 0.0
S076668 -3.5094 -31.0449 1.123e-20 1.911e-20 4.064e-20 0.0 142.25 0.0
S076669 -3.5104 -31.022 2.004e-20 3.156e-20 5.920e-20 0.0 145.28 0.0
S076670 -3.4505 -31.0541 1.970e-23 6.090e-23 4.540e-22 0.0 142.86 0.0
S076671 -3.4862 -30.9902 1.144e-18 1.255e-18 1.094e-18 0.0 146.34 0.0
S076672 -3.4577 -31.0059 1.541e-21 1.081e-21 3.786e-22 0.0 142.81 0.0
S076673 -3.4781 -30.9922 1.817e-19 2.245e-19 2.556e-19 0.0 147.53 0.0
S076674 -3.4935 -30.9622 1.525e-21 2.891e-21 7.886e-21 0.0 146.02 0.0
S076675 -3.5263 -31.041 1.553e-22 3.698e-22 1.688e-21 0.0 146.43 0.0
S076676 -3.5124 -31.0198 1.757e-17 1.571e-17 9.073e-18 0.0 147.5 0.0
S076677 -3.4485 -31.0609 1.874e-23 5.440e-23 3.580e-22 0.0 142.44 0.0
S076678 -3.51 -31.0107 4.703e-19 5.607e-19 5.611e-19 0.0 145.94 0.0
S076679 -3.4846 -31.0069 3.892e-23 1.037e-22 5.702e-22 0.0 143.36 0.0
S076680 -3.49 -31.0587 3.724e-17 3.217e-17 1.738e-17 0.0 141.47 0.0
S076681 -3.4608 -31.0311 2.408e-21 1.594e-21 5.200e-22 0.0 143.27 0.0
S076682 -3.5295 -31.0503 8.101e-18 1.264e-17 2.236e-17 0.0 142.04 0.0
S076683 -3.5344 -31.034 2.409e-18 2.686e-18 2.424e-18 0.0 145.35 0.0
S076684 -3.4738 -30.9926 1.141e-18 1.211e-18 9.731e-19 0.0 146.89 0.0
S076685 -3.5403 -31.0819 2.959e-18 4.584e-18 7.947e-18 0.0 144.22 0.0
S076686 -3.4634 -31.0525 8.149e-22 1.709e-21 5.582e-21 0.0 144.4 0.0
S076687 -3.4674 -31.0437 1.082e-20 1.806e-20 3.655e-20 0.0 146.83 0.0
S076688 -3.4342 -31.0328 3.569e-22 8.616e-22 3.840e-21 0.0 140.44 0.0
S076689 -3.4929 -31.0097 1.010e-16 8.152e-17 3.919e-17 0.0 143.33 0.0
S076690 -3.5034 -31.0806 1.300e-18 1.367e-18 1.071e-18 0.0 142.31 0.0
S076691 -3.474 -31.0442 1.624e-21 1.135e-21 4.004e-22 0.0 146.98 0.0
S076692 -3.462 -30.9799 5.012e-19 6.107e-19 6.650e-19 0.0 142.71 0.0
S076693 -3.4758 -31.0024 1.120e-19 1.488e-19 1.894e-19 0.0 145.4 0.0
S076694 -3.4681 -31.0265 2.821e-19 3.699e-19 4.547e-19 0.0 142.25 0.0
S076695 -3.4778 -31.0466 1.618e-17 1.462e-17 8.399e-18 0.0 143.28 0.0
S076696 -3.5148 -31.0111 1.634e-22 3.940e-22 1.725e-21 0.0 146.08 0.0
S076697 -3.4728 -31.0679 2.787e-21 1.848e-21 5.878e-22 0.0 148.28 0.0
S076698 -3.5019 -31.0808 1.939e-22 4.848e-22 2.411e-21 0.0 144.62 0.0
S076699 -3.4823 -30.985 5.416e-18 5.396e-18 3.798e-18 0.0 142.11 0.0
S076700 -3.5093 -31.0521 4.070e-18 3.971e-18 2.729e-18 0.0 145.51 0.0
S076701 -3.518 -31.0336 1.859e-16 1.398e-16 6.026e-17 0.0 141.88 1.0
S076702 -3.4852 -31.055 4.003e-20 5.869e-20 9.241e-20 0.0 145.23 0.0
S076703 -3.456 -31.014 2.181e-14 1.426e-14 4.547e-15 0.0 147.84 0.0
S076704 -3.5019 -31.0146 3.365e-18 3.335e-18 2.438e-18 0.0 141.84 0.0
S076705 -3.5226 -31.0069 8.007e-13 6.074e-13 2.628e-13 0.0 147.99 1.0
S076706 -3.4753 -31.0574 8.383e-18 7.963e-18 5.024e-18 0.0 147.66 0.0
S076707 -3.4916 -31.0571 1.430e-17 2.125e-17 3.517e-17 0.0 145.95 0.0
S076708 -3.5093 -30.9946 9.564e-19 1.072e-18 1.005e-18 0.0 141.17 0.0
S076709 -3.4761 -31.0147 2.703e-21 1.752e-21 5.309e-22 0.0 142.02 0.0
S076710 -3.4443 -30.9955 1.117e-18 1.192e-18 9.803e-19 0.0 146.49 0.0
S076711 -3.5243 -31.0806 1.200e-17 2.100e-17 4.775e-17 0.0 145.42 0.0
S076712 -3.4429 -31.0125 3.158e-17 2.708e-17 1.458e-17 0.0 146.33 0.0
S076713 -3.5149 -30.9818 5.162e-22 1.163e-21 4.523e-21 0.0 140.52 0.0
S076714 -3.4597 -31.0277 2.197e-17 4.063e-17 1.050e-16 0.0 147.38 0.0
S076715 -3.4462 -31.0434 3.311e-22 7.874e-22 3.483e-21 0.0 147.98 0.0
S076716 -3.5124 -31.0708 5.805e-25 2.330e-24 3.051e-23 0.0 145.33 0.0
S076717 -3.5088 -31.0214 5.364e-22 1.193e-21 4.510e-21 0.001 147.52 0.0
S076718 -3.4677 -31.0417 2.318e-23 6.203e-23 3.617e-22 0.0 146.31 0.0
S076719 -3.5133 -30.9895 1.208e-18 1.330e-18 1.192e-18 0.0 144.12 0.0
S076720 -3.4833 -31.044 1.876e-20 2.962e-20 5.611e-20 0.0 145.15 0.0
S076721 -3.496 -31.0507 2.778e-17 2.542e-17 1.553e-17 0.0 142.34 0.0
S076722 -3.5305 -31.0267 1.889e-21 1.300e-21 4.486e-22 0.0 148.02 0.0
S076723 -3.5254 -31.0909 2.098e-18 2.183e-18 1.758e-18 0.0 143.12 0.0
S076724 -3.5045 -31.0552 1.522e-17 1.377e-17 7.957e-18 0.0 144.38 0.0
S076725 -3.4976 -30.9971 8.861e-22 1.816e-21 5.816e-21 0.0 147.79 0.0
S076726 -3.4368 -31.0452 9.160e-20 1.229e-19 1.649e-19 0.0 145.66 0.0
S076727 -3.504 -31.0311 7.547e-21 1.385e-20 3.586e-20 0.0 142.1 0.0
S076728 -3.4872 -31.0379 6.928e-18 6.693e-18 4.578e-18 0.0 147.54 0.0
S076729 -3.516 -31.086 3.384e-23 8.810e-23 4.746e-22 0.0 144.69 0.0
S076730 -3.4379 -30.9802 1.865e-21 3.618e-21 1.077e-20 0.0 141.12 0.0
S076731 -3.4934 -31.0675 7.278e-22 1.294e-21 3.045e-21 0.0 146.37 0.0
S076732 -3.441 -31.027 8.136e-22 6.313e-22 2.649e-22 0.0 142.4 0.0
S076733 -3.5197 -31.0227 2.687e-22 6.170e-22 2.455e-21 0.0 147.97 0.0
S076734 -3.5481 -31.0554 5.930e-18 5.568e-18 3.522e-18 0.0 146.86 0.0
S076735 -3.4713 -31.0304 1.363e-17 1.251e-17 7.405e-18 0.0 141.49 0.0
S076736 -3.4868 -31.0353 3.503e-19 3.994e-19 3.817e-19 0.0 142.38 0.0
S076737 -3.5305 -31.0273 1.140e-21 2.247e-21 6.552e-21 0.0 144.8 0.0
S076738 -3.5025 -30.9682 9.780e-20 1.410e-19 2.158e-19 0.0 140.85 0.0
S076739 -3.4976 -30.9975 2.571e-17 4.315e-17 8.965e-17 0.0 141.59 0.0
S076740 -3.5028 -31.0703 6.737e-23 1.707e-22 8.465e-22 0.0 147.64 0.0
S076741 -3.4805 -30.9651 2.490e-19 3.128e-19 3.567e-19 0.0 145.19 0.0
S076742 -3.5158 -30.9824 4.661e-19 5.635e-19 6.196e-19 0.0 147.54 0.0
S076743 -3.5226 -31.0902 2.110e-20 3.174e-20 5.264e-20 0.0 147.82 0.0
S076744 -3.492 -30.9822 2.469e-13 1.661e-13 5.579e-14 0.0 143.81 0.0
S076745 -3.4969 -30.9744 2.756e-23 8.130e-23 5.333e-22 0.0 144.27 0.0
S076746 -3.4378 -30.983 1.572e-27 1.178e-26 5.884e-25 0.0 141.34 0.0
S076747 -3.5138 -31.0174 2.429e-20 3.875e-20 7.132e-20 0.0 140.35 0.0
S076748 -3.4694 -31.0029 1.522e-17 2.777e-17 7.050e-17 0.0 146.37 0.0
S076749 -3.4646 -31.041 1.405e-21 2.915e-21 9.666e-21 0.0 142.01 0.0
S076750 -3.4949 -31.0368 8.792e-21 1.447e-20 3.012e-20 0.0 144.97 0.0
S076751 -3.5064 -30.9931 1.380e-21 9.657e-22 3.576e-22 0.0 145.4 0.0
S076752 -3.4443 -31.0952 4.638e-13 4.193e-13 2.441e-13 0.0 145.55 1.0
S076753 -3.4704 -31.0194 4.144e-17 7.401e-17 1.747e-16 0.0 147.26 0.0
S076754 -3.4754 -31.0059 3.618e-18 3.465e-18 2.322e-18 0.0 145.37 0.0
S076755 -3.4843 -31.0716 3.403e-20 5.044e-20 8.112e-20 0.0 144.68 0.0
S076756 -3.4355 -31.0257 9.518e-23 2.801e-22 1.842e-21 0.0 142.49 0.0
S076757 -3.5021 -31.0313 6.073e-18 5.897e-18 4.092e-18 0.0 141.46 0.0
S076758 -3.4712 -30.9836 4.729e-17 3.797e-17 1.760e-17 0.0 147.57 0.0
S076759 -3.4895 -31.0269 1.057e-16 8.037e-17 3.317e-17 0.0 143.44 0.0
S076760 -3.4766 -31.0512 1.354e-17 2.380e-17 5.724e-17 0.0 141.93 0.0
S076761 -3.4674 -31.0774 2.837e-24 1.067e-23 1.232e-22 0.0 145.84 0.0
S076762 -3.5304 -31.0172 2.009e-22 5.183e-22 2.667e-21 0.0 147.35 0.0
S076763 -3.5155 -30.9909 8.209e-22 1.747e-21 6.041e-21 0.0 145.41 0.0
S076764 -3.5114 -30.9905 8.002e-19 9.511e-19 1.000e-18 0.0 144.33 0.0
S076765 -3.4738 -31.0037 5.869e-14 3.891e-14 1.269e-14 0.0 145.78 0.0
S076766 -3.4749 -31.0281 2.781e-23 8.249e-23 5.665e-22 0.0 145.08 0.0
S076767 -3.5094 -31.0794 1.442e-20 2.298e-20 4.279e-20 0.0 141.6 0.0
S076768 -3.4809 -31.078 9.458e-17 7.686e-17 3.650e-17 0.0 143.01 0.0
S076769 -3.5166 -31.0275 1.979e-18 2.059e-18 1.685e-18 0.0 144.16 0.0
S076770 -3.5145 -31.0675 2.063e-21 3.875e-21 1.009e-20 0.0 146.85 0.0
S076771 -3.4887 -30.9737 5.468e-24 1.716e-23 1.333e-22 0.0 141.1 0.0
S076772 -3.4713 -31.0332 2.284e-23 6.554e-23 4.299e-22 0.0 143.1 0.0
S076773 -3.5223 -31.0562 2.491e-18 2.530e-18 1.854e-18 0.0 142.48 0.0
S076774 -3.4504 -30.976 2.872e-20 4.351e-20 7.382e-20 0.0 142.64 0.0
S076775 -3.4916 -31.0037 1.996e-19 2.551e-19 3.007e-19 0.0 149.2 1.0
S076776 -3.4581 -31.0861 2.367e-17 2.062e-17 1.102e-17 0.001 144.63 0.0
S076777 -3.4526 -31.0885 4.126e-16 1.192e-15 7.860e-15 0.0 147.82 1.0
S076778 -3.4655 -31.0578 3.959e-19 4.761e-19 4.983e-19 0.0 147.82 0.0
S076779 -3.4771 -31.0786 7.629e-19 9.134e-19 9.175e-19 0.0 147.2 0.0
S076780 -3.4608 -31.0365 3.984e-23 1.259e-22 9.525e-22 0.0 148.34 0.0
S076781 -3.5146 -31.0569 1.304e-22 3.280e-22 1.569e-21 0.0 143.15 0.0
S076782 -3.469 -31.0535 6.037e-19 7.302e-19 7.555e-19 0.0 146.92 0.0
S076783 -3.5382 -31.0504 9.732e-20 1.340e-19 1.805e-19 0.0 145.63 0.0
S076784 -3.4539 -31.0459 2.497e-22 5.367e-22 1.882e-21 0.0 142.14 0.0
S076785 -3.5331 -31.0248 1.436e-23 4.253e-23 3.003e-22 0.0 146.03 0.0
S076786 -3.5325 -31.0263 4.283e-21 7.840e-21 2.055e-20 0.0 141.39 0.0
S076787 -3.4938 -31.0609 2.123e-21 4.103e-21 1.179e-20 0.0 142.24 0.0
S076788 -3.4783 -31.0325 5.067e-22 1.070e-21 3.740e-21 0.0 145.57 0.0
S076789 -3.4772 -31.0229 2.090e-19 2.695e-19 3.163e-19 0.0 144.46 0.0
S076790 -3.4509 -31.0556 1.433e-18 1.490e-18 1.207e-18 0.0 146.73 0.0
S076791 -3.4621 -30.9996 5.187e-18 4.967e-18 3.340e-18 0.0 142.56 0.0
S076792 -3.476 -31.023 7.738e-17 1.375e-16 3.313e-16 0.0 146.93 0.0
S076793 -3.497 -31.0357 5.442e-15 1.899e-14 1.847e-13 0.0 143.78 0.0
S076794 -3.4876 -30.9903 1.897e-22 4.461e-22 1.846e-21 0.0 142.21 0.0
S076795 -3.5242 -31.061 1.052e-18 1.158e-18 1.034e-18 0.0 149.06 0.0
S076796 -3.4433 -31.0197 2.456e-22 5.605e-22 2.338e-21 0.0 145.31 0.0
S076797 -3.4541 -31.0025 2.583e-19 3.223e-19 3.720e-19 0.0 143.69 0.0
S076798 -3.4895 -31.0292 1.950e-17 2.907e-17 4.688e-17 0.0 143.56 0.0
S076799 -3.4959 -31.0133 5.703e-24 1.705e-23 1.194e-22 0.0 146.74 0.0
S076800 -3.4956 -31.0636 8.515e-22 1.723e-21 5.440e-21 0.0 144.94 0.0
S076801 -3.4497 -31.0641 1.275e-17 2.344e-17 5.936e-17 0.0 147.61 0.0
S076802 -3.5144 -31.0275 8.955e-19 1.049e-18 1.007e-18 0.0 142.34 0.0
S076803 -3.5282 -31.0156 3.788e-17 3.133e-17 1.558e-17 0.0 147.39 0.0
S076804 -3.5049 -31.0185 5.500e-24 1.974e-23 1.992e-22 0.0 145.62 0.0
S076805 -3.4405 -31.0381 3.137e-19 3.968e-19 4.568e-19 0.0 146.68 0.0
S076806 -3.5309 -31.0297 4.305e-18 4.098e-18 2.741e-18 0.0 144.04 0.0
S076807 -3.4531 -31.0345 9.047e-24 3.011e-23 2.625e-22 0.0 148.43 0.0
S076808 -3.507 -31.0432 1.872e-25 8.244e-25 1.364e-23 0.0 141.94 0.0
S076809 -3.4971 -30.9929 6.967e-17 5.570e-17 2.531e-17 0.0 146.8 0.0
S076810 -3.4901 -31.0132 5.427e-20 7.492e-20 1.077e-19 0.0 144.37 0.0
S076811 -3.5241 -31.0553 1.701e-18 1.840e-18 1.544e-18 0.0 143.12 0.0
S076812 -3.4554 -31.0319 1.511e-19 2.105e-19 2.942e-19 0.0 146.81 0.0
S076813 -3.4747 -31.0647 1.726e-23 5.403e-23 4.072e-22 0.0 147.53 0.0
S076814 -3.4205 -31.0119 1.740e-27 1.443e-26 8.773e-25 0.0 144.12 0.0
S076815 -3.5164 -31.0539 6.486e-18 6.334e-18 4.543e-18 0.0 143.55 0.0
S076816 -3.4898 -31.0248 2.398e-21 4.763e-21 1.389e-20 0.0 143.92 0.0
S076817 -3.4803 -31.0441 3.045e-18 2.913e-18 1.906e-18 0.0 143.53 0.0
S076818 -3.5343 -31.0638 2.060e-18 2.144e-18 1.722e-18 0.0 143.49 0.0
S076819 -3.4799 -30.9916 7.202e-21 1.245e-20 2.799e-20 0.0 143.58 0.0
S076820 -3.5085 -31.0017 8.908e-18 1.420e-17 2.622e-17 0.0 146.16 0.0
S076821 -3.5004 -31.0768 2.762e-17 5.428e-17 1.522e-16 0.0 140.85 0.0
S076822 -3.4562 -31.0148 8.299e-17 6.577e-17 2.959e-17 0.0 142.23 1.0
S076823 -3.4952 -31.041 9.047e-20 1.193e-19 1.514e-19 0.0 146.2 0.0
S076824 -3.4611 -31.013 6.385e-23 1.491e-22 6.409e-22 0.0 146.86 0.0
S076825 -3.4787 -31.012 3.604e-24 1.364e-23 1.507e-22 0.0 145.99 0.0
S076826 -3.5326 -31.0391 5.124e-13 3.579e-13 1.269e-13 0.0 140.39 0.0
S076827 -3.4947 -31.0604 1.976e-21 1.358e-21 4.729e-22 0.0 145.49 0.0
S076828 -3.5064 -31.0176 3.310e-21 6.090e-21 1.564e-20 0.0 141.93 0.0
S076829 -3.422 -31.0519 1.575e-20 2.429e-20 4.194e-20 0.001 143.68 0.0
S076830 -3.4978 -31.0429 5.023e-23 1.311e-22 6.786e-22 0.0 141.19 0.0
S076831 -3.4808 -31.0405 1.308e-17 2.445e-17 6.612e-17 0.0 144.42 0.0
S076832 -3.5084 -30.9851 1.012e-17 9.161e-18 5.509e-18 0.001 146.22 0.0
S076833 -3.5054 -30.9714 7.746e-17 6.170e-17 2.760e-17 0.0 144.8 0.0
S076834 -3.4992 -31.0682 9.167e-17 7.168e-17 3.119e-17 0.0 141.8 0.0
S076835 -3.4627 -31.0131 2.726e-19 3.412e-19 3.849e-19 0.001 145.17 0.0
S076836 -3.4918 -31.0286 1.177e-21 2.369e-21 7.078e-21 0.0 143.74 0.0
S076837 -3.4384 -31.0174 1.015e-21 2.145e-21 7.241e-21 0.0 142.77 0.0
S076838 -3.5142 -31.0146 1.315e-23 4.063e-23 3.003e-22 0.0 147.92 0.0
S076839 -3.449 -31.0434 1.238e-22 3.121e-22 1.499e-21 0.0 146.73 0.0
S076840 -3.4502 -31.0441 1.120e-23 3.285e-23 2.116e-22 0.0 142.21 0.0
S076841 -3.4965 -31.0696 7.292e-18 7.063e-18 4.616e-18 0.0 148.46 0.0
S076842 -3.4831 -31.0518 8.654e-13 6.580e-13 2.686e-13 0.0 143.0 0.0
S076843 -3.5034 -31.0221 1.967e-18 2.112e-18 1.743e-18 0.0 145.27 0.0
S076844 -3.4639 -31.0248 3.904e-22 8.445e-22 2.865e-21 0.0 145.57 0.0
S076845 -3.4732 -31.0143 1.501e-19 1.926e-19 2.372e-19 0.0 142.57 0.0
S076846 -3.4886 -31.0353 3.736e-18 5.981e-18 1.175e-17 0.0 146.48 1.0
S076847 -3.435 -31.0264 1.162e-17 1.053e-17 6.111e-18 0.0 142.23 0.0
S076848 -3.5065 -31.0242 3.290e-20 4.963e-20 8.578e-20 0.0 147.07 0.0
S076849 -3.5015 -31.0075 1.782e-20 2.902e-20 5.747e-20 0.0 146.01 0.0
S076850 -3.5327 -31.0749 1.535e-17 2.563e-17 5.212e-17 0.0 142.3 0.0
S076851 -3.4724 -31.0003 1.254e-17 1.755e-17 2.536e-17 0.0 147.46 0.0
S076852 -3.4958 -31.0449 1.715e-17 3.372e-17 9.595e-17 0.0 145.38 0.0
S076853 -3.4819 -31.0131 2.129e-23 5.761e-23 3.273e-22 0.0 144.53 0.0
S076854 -3.4694 -30.9762 1.567e-25 8.082e-25 1.770e-23 0.0 148.89 0.0
S076855 -3.4629 -30.9996 1.506e-20 2.437e-20 4.948e-20 0.0 146.6 0.0
