Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG1525 178.0851 79.9559 2.057e-15 1.637e-15 5.597e-16 167.974 701.53
DG1526 177.7388 80.1206 7.929e-16 6.733e-16 3.184e-16 121.6266 703.85
DG1527 178.3074 80.4071 8.637e-16 6.46e-16 3.181e-16 113.8067 700.07
DG1528 177.9972 80.0256 8.19e-16 6.607e-16 2.982e-16 124.2097 701.53
DG1529 178.1103 79.874 5.975e-26 1.463e-27 6.078e-33 157.3186 705.35
DG1530 178.5724 79.7925 8.871e-16 6.808e-16 3.152e-16 125.9429 703.75
DG1531 178.4384 80.1797 7.512e-16 6.202e-16 2.908e-16 105.3922 702.11
DG1532 178.4617 79.7588 1.108e-15 8.479e-16 3.473e-16 117.4502 704.9
DG1533 177.8796 79.3764 7.397e-16 6.249e-16 2.726e-16 113.0191 702.85
DG1534 178.4073 79.7005 8.688e-16 7.797e-16 3.273e-16 128.3837 703.9
DG1535 178.1861 79.9653 5.525e-26 1.549e-27 6.849e-33 109.0636 705.35
DG1536 178.1298 80.5538 7.64e-16 6.219e-16 2.696e-16 118.772 701.17
DG1537 178.0572 80.3205 8.737e-16 7.069e-16 3.045e-16 141.6266 701.95
