Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0001 1.3037 66.8660 1.267e-16 9.482e-17 4.123e-17 89.4386 1524.78
DG0002 1.4130 66.8153 1.812e-16 1.626e-16 6.606e-17 46.9113 1524.25
DG0003 1.3425 66.6852 2.597e-16 1.921e-16 8.061e-17 54.4111 1522.89
DG0004 1.1536 66.8014 1.095e-25 3.152e-27 1.415e-32 53.6409 1525.01
DG0005 1.3678 66.9196 1.863e-16 1.583e-16 7.537e-17 53.8423 1524.3
DG0006 1.2295 66.9842 1.681e-16 1.593e-16 6.863e-17 54.2403 1521.85
DG0007 1.3667 66.8298 1.227e-16 1.021e-16 4.710e-17 64.3672 1523.26
DG0008 1.3491 66.8206 1.853e-16 1.549e-16 6.512e-17 54.3402 1524.4
DG0009 260.2086 46.6129 9.402e-16 7.334e-16 2.255e-16 169.9407 1061.52
DG0010 260.1950 47.0328 5.839e-26 1.650e-27 7.215e-33 87.7151 1062.65
DG0011 261.6045 46.4966 3.135e-16 2.389e-16 1.268e-16 65.0737 1061.13
DG0012 259.9868 46.3059 2.274e-16 1.885e-16 8.887e-17 81.3814 1067.11
DG0013 259.7863 46.6172 2.911e-16 2.751e-16 1.154e-16 69.0895 1063.41
DG0014 261.4555 46.3512 3.735e-16 2.905e-16 1.324e-16 79.3667 1064.71
DG0015 259.2907 46.3053 3.298e-16 2.746e-16 1.142e-16 63.6649 1061.33
DG0016 259.5317 47.0040 2.998e-16 2.391e-16 1.128e-16 70.7759 1064.25
DG0017 260.9942 46.8801 2.362e-16 1.850e-16 8.337e-17 100.8668 1057.93
DG0018 259.7560 46.6932 6.388e-26 1.683e-27 7.922e-33 78.6932 1064.31
DG0019 258.9566 46.5806 3.625e-16 2.963e-16 1.408e-16 75.5209 1064.62
DG0020 259.2023 46.4049 6.674e-26 1.651e-27 8.054e-33 81.8573 1059.75
DG0021 260.2099 46.2393 3.241e-16 2.626e-16 1.160e-16 68.0553 1064.98
DG0022 259.0032 46.1328 4.767e-16 3.818e-16 1.586e-16 71.6597 1061.27
DG0023 260.5033 47.1500 3.528e-16 2.563e-16 1.180e-16 64.9427 1067.4
DG0024 260.0059 46.1179 3.321e-16 2.884e-16 1.158e-16 74.1258 1064.24
DG0025 260.2340 47.5871 3.352e-16 2.650e-16 1.227e-16 57.2867 1061.42
DG0026 260.5002 47.1505 2.229e-16 1.944e-16 7.851e-17 120.5373 1064.65
DG0027 260.7986 47.1911 3.194e-16 2.413e-16 1.190e-16 69.6385 1059.28
DG0028 260.5340 46.2274 6.547e-26 1.621e-27 8.111e-33 78.777 1059.56
DG0029 259.7625 45.8050 3.069e-16 2.543e-16 1.138e-16 70.0978 1057.52
DG0030 260.2105 47.3315 4.366e-16 3.781e-16 1.409e-16 80.4073 1062.74
DG0031 259.9754 46.3733 2.169e-16 2.176e-16 8.809e-17 105.3688 1063.79
DG0032 261.0468 46.9456 3.253e-16 2.801e-16 1.279e-16 72.478 1063.09
DG0033 261.1093 46.8069 3.388e-16 2.921e-16 1.384e-16 87.0877 1060.31
DG0034 259.8746 46.3932 3.376e-16 2.715e-16 1.187e-16 64.0006 1064.52
DG0035 260.3698 46.3124 3.510e-16 2.664e-16 1.205e-16 60.8107 1064.35
DG0036 258.9700 46.8553 3.430e-16 2.830e-16 1.254e-16 75.0403 1060.7
DG0037 260.6204 46.8432 2.296e-16 1.987e-16 8.509e-17 118.1726 1067.12
DG0038 261.3133 46.0289 3.223e-16 2.645e-16 1.172e-16 67.3555 1055.07
DG0039 259.4318 47.2959 2.269e-16 1.922e-16 8.338e-17 76.4234 1059.47
DG0040 259.3704 46.1928 6.518e-26 1.692e-27 7.174e-33 91.4866 1066.15
DG0041 261.3844 47.1510 2.366e-16 1.847e-16 8.739e-17 102.0524 1064.03
DG0042 259.9655 46.7259 2.347e-16 1.914e-16 8.967e-17 113.706 1062.13
DG0043 260.5090 47.2532 3.488e-16 3.116e-16 1.293e-16 82.5855 1061.97
DG0044 260.4596 47.1692 3.374e-16 2.364e-16 1.191e-16 64.8233 1064.21
DG0045 261.1108 46.6153 2.221e-16 1.726e-16 8.226e-17 96.7727 1062.27
DG0046 260.8783 46.7949 2.290e-16 1.957e-16 8.051e-17 102.9261 1055.78
DG0047 259.0962 46.7852 3.801e-16 3.176e-16 1.342e-16 80.7426 1067.28
DG0048 318.0684 27.4338 1.387e-16 1.288e-16 5.514e-17 89.2101 1414.61
DG0049 317.9499 27.4790 1.993e-16 1.770e-16 6.753e-17 51.0254 1414.88
DG0050 318.2894 27.3824 2.116e-16 1.816e-16 7.754e-17 55.9933 1415.56
DG0051 317.9892 27.4976 2.019e-16 1.814e-16 7.846e-17 59.7045 1415.69
DG0052 318.0412 27.3099 3.047e-16 2.388e-16 9.478e-17 62.8737 1415.93
DG0053 317.8334 27.5164 1.895e-16 1.739e-16 7.719e-17 66.5752 1414.62
DG0054 75.3081 112.1147 3.727e-15 3.125e-15 1.313e-15 329.3737 281.89
DG0055 334.3332 70.3239 3.171e-16 2.486e-16 1.023e-16 54.9213 1370.61
DG0056 334.4208 70.1874 1.381e-16 1.230e-16 5.540e-17 46.9878 1370.42
DG0057 334.2725 70.2638 2.124e-16 1.697e-16 7.692e-17 56.58 1371.36
DG0058 334.3019 70.3474 1.565e-16 1.191e-16 5.828e-17 66.0364 1371.6
DG0059 297.6698 134.0887 8.759e-17 7.344e-17 3.469e-17 48.9325 1838.42
DG0060 143.1643 111.4071 3.310e-16 2.674e-16 1.268e-16 98.9282 913.95
DG0061 32.1847 57.8246 2.189e-15 1.892e-15 6.476e-16 402.823 627.78
DG0062 32.7546 57.2857 5.956e-16 4.983e-16 2.036e-16 200.669 622.84
DG0063 31.9577 57.6966 1.318e-15 9.508e-16 3.915e-16 129.2183 623.0
DG0064 32.9121 57.4032 5.740e-26 1.517e-27 7.026e-33 134.7237 629.28
DG0065 32.0651 57.5041 5.845e-16 4.590e-16 2.104e-16 153.2358 627.24
DG0066 32.4677 57.0704 5.512e-26 1.427e-27 6.412e-33 136.5245 624.82
DG0067 32.3980 56.7478 9.066e-16 7.801e-16 3.528e-16 144.5219 626.09
DG0068 30.6975 57.6651 6.140e-16 5.609e-16 2.459e-16 130.8994 628.53
DG0069 32.8030 58.5271 5.232e-16 4.683e-16 1.844e-16 138.3971 624.55
DG0070 32.0305 58.1590 5.426e-26 1.381e-27 6.666e-33 123.903 625.67
DG0071 32.5101 57.6977 6.975e-16 4.741e-16 2.198e-16 145.1302 622.94
DG0072 32.2019 58.0926 6.478e-16 5.576e-16 2.437e-16 238.2619 624.3
DG0073 31.4061 57.3261 9.144e-16 7.603e-16 3.389e-16 148.0457 626.61
DG0074 32.3249 58.4204 5.842e-16 5.143e-16 2.241e-16 191.6541 624.69
DG0075 33.1911 58.1454 9.472e-16 7.350e-16 3.529e-16 128.9249 629.45
DG0076 33.2713 58.6488 8.531e-16 6.793e-16 3.063e-16 97.5227 628.22
DG0077 32.6492 57.9009 5.606e-26 1.427e-27 6.855e-33 142.8432 621.94
DG0078 32.4195 57.8974 7.020e-16 5.412e-16 2.618e-16 214.8693 629.52
DG0079 31.6991 58.2823 5.267e-26 1.350e-27 7.105e-33 152.1716 624.99
DG0080 31.1324 57.6507 8.565e-16 6.725e-16 3.001e-16 125.9395 627.34
DG0081 33.2932 57.0367 7.869e-16 6.364e-16 3.060e-16 119.4585 625.85
DG0082 32.0067 58.0229 5.856e-16 4.985e-16 2.333e-16 303.6716 629.21
DG0083 70.3230 53.1702 2.484e-15 1.958e-15 9.050e-16 408.3937 279.71
DG0084 69.8254 52.9816 9.121e-26 2.426e-27 1.175e-32 318.8639 279.97
DG0085 69.8129 53.5704 9.341e-26 2.561e-27 1.275e-32 301.768 278.98
DG0086 69.6792 52.9878 9.217e-26 2.668e-27 1.185e-32 298.4965 280.02
DG0087 70.5712 52.8963 3.823e-15 3.014e-15 1.338e-15 238.8423 278.21
DG0088 135.6962 45.5763 7.459e-17 6.246e-17 3.111e-17 49.628 2028.04
DG0089 251.5452 126.4891 6.732e-15 5.261e-15 2.493e-15 336.75 215.64
DG0090 251.1441 126.7951 5.046e-15 3.942e-15 1.701e-15 341.9979 214.84
DG0091 251.9460 126.7961 4.629e-15 3.929e-15 1.695e-15 319.229 214.99
DG0092 127.9056 41.5495 2.420e-16 2.166e-16 8.018e-17 84.2623 1083.14
DG0093 128.2260 41.4549 6.139e-26 1.528e-27 8.312e-33 80.5203 1083.8
DG0094 128.1201 41.5124 6.480e-26 1.604e-27 7.797e-33 92.1226 1083.04
DG0095 160.4639 103.3689 1.374e-16 1.141e-16 4.951e-17 46.8357 1607.15
DG0096 160.4474 103.3199 1.607e-16 1.258e-16 6.386e-17 55.9364 1605.61
DG0097 160.4743 103.3268 1.477e-16 1.160e-16 4.996e-17 47.1341 1607.02
DG0098 161.9095 46.0426 4.315e-15 3.766e-15 1.517e-15 851.1339 203.45
DG0099 161.8456 45.9141 7.304e-15 6.317e-15 2.659e-15 394.4129 202.23
DG0100 162.0685 45.0276 1.540e-25 3.891e-27 1.719e-32 425.9216 204.26
DG0101 162.0097 45.0782 1.463e-25 3.779e-27 1.709e-32 431.2641 203.83
DG0102 162.4403 45.8993 1.376e-25 3.694e-27 1.853e-32 454.691 204.79
DG0103 163.5908 45.1604 1.490e-25 4.062e-27 1.892e-32 464.5079 205.57
DG0104 163.0048 46.5866 8.291e-15 6.739e-15 3.022e-15 366.1794 205.37
DG0105 160.8849 44.9225 7.497e-15 6.226e-15 2.743e-15 399.5762 205.39
DG0106 162.8764 45.1369 7.790e-15 5.686e-15 2.483e-15 408.2408 203.92
DG0107 142.8180 56.8419 7.709e-26 1.767e-27 8.476e-33 228.8261 412.87
DG0108 143.2951 56.9914 1.546e-15 1.256e-15 5.116e-16 218.6926 412.29
DG0109 143.0869 56.6278 2.116e-15 1.664e-15 6.580e-16 152.4482 413.12
DG0110 143.1094 56.6913 2.078e-15 1.900e-15 8.181e-16 179.088 413.03
DG0111 359.5563 166.0544 3.611e-16 3.259e-16 9.521e-17 114.329 1731.71
DG0112 358.9060 165.9411 1.544e-25 4.339e-27 2.032e-32 45.8422 1731.47
DG0113 359.6430 165.9495 1.201e-16 1.091e-16 4.992e-17 43.4404 1732.15
DG0114 359.2474 166.0338 1.300e-16 1.141e-16 4.800e-17 45.5544 1731.15
DG0115 359.1210 166.0526 1.349e-16 9.724e-17 4.025e-17 46.6793 1731.55
DG0116 359.4305 165.9039 1.611e-25 4.419e-27 2.125e-32 48.2246 1732.01
DG0117 359.5048 165.8864 9.242e-17 7.900e-17 3.362e-17 56.9543 1730.68
DG0118 0.1243 165.9991 1.343e-16 9.904e-17 5.045e-17 42.355 1731.76
DG0119 359.5241 165.9634 1.323e-16 9.642e-17 4.550e-17 41.2764 1731.15
DG0120 359.3725 165.9649 1.395e-16 1.181e-16 5.390e-17 39.0202 1732.45
DG0121 291.9380 140.3128 1.612e-15 1.110e-15 3.736e-16 227.9252 772.67
DG0122 292.8032 140.0109 4.175e-16 3.374e-16 1.448e-16 105.3902 772.89
DG0123 291.2543 140.0806 5.651e-16 4.187e-16 1.797e-16 107.7875 773.69
DG0124 292.0925 140.4728 4.010e-16 3.341e-16 1.501e-16 230.8518 772.18
DG0125 291.4456 140.6485 3.867e-16 3.476e-16 1.470e-16 146.248 773.67
DG0126 291.9968 139.6541 5.101e-16 4.414e-16 2.012e-16 100.8937 778.29
DG0127 292.0770 139.6921 3.889e-16 3.019e-16 1.416e-16 118.6943 774.77
DG0128 292.8362 140.0878 5.392e-26 1.311e-27 7.164e-33 119.0679 772.78
DG0129 292.7193 140.2117 5.710e-16 4.198e-16 1.904e-16 90.966 773.05
DG0130 290.9781 140.6618 5.134e-16 4.327e-16 1.907e-16 89.749 777.88
DG0131 291.2273 140.3448 5.450e-26 1.363e-27 7.271e-33 126.5687 772.21
DG0132 291.2387 139.7860 5.417e-16 4.222e-16 2.005e-16 105.2607 776.03
DG0133 291.9761 141.1495 5.700e-16 4.592e-16 1.847e-16 86.4138 772.33
DG0134 291.1685 140.7856 5.297e-16 4.553e-16 2.006e-16 97.372 774.68
DG0135 291.7253 140.8811 8.028e-16 6.700e-16 2.442e-16 101.9834 771.26
DG0136 292.2137 139.6516 5.978e-26 1.522e-27 7.156e-33 110.1109 771.8
DG0137 292.1092 140.3266 5.543e-16 5.045e-16 2.199e-16 98.4777 778.03
