Name Direction X Y Photon-Count
FE01 Back -1.95 -34.14 103586
FE02 Front -1.52 7.68 3157
FE03 Top 16.76 -23.20 27757
FE04 Bottom -22.88 7.64 3255
FE05 Left -15.00 -27.08 351
FE06 Right -4.12 -28.20 401
FE07 Back -30.95 36.85 77490
FE08 Right 30.82 43.00 636
FE09 Bottom -5.51 -7.29 59508
FE10 Back -27.96 42.61 95777
FE11 Top 4.86 -29.76 2437
FE12 Top 22.51 8.30 734
FE13 Bottom 41.48 27.50 35267
FE14 Front 28.07 -19.61 11787663
FE15 Right 23.82 -21.15 21361
FE16 Right -19.32 -21.06 18506
FE17 Left -27.78 9.25 554
FE18 Top -23.31 16.11 3475
FE19 Back 11.76 -44.27 16554
FE20 Left -37.16 -9.22 1837
FE21 Top -36.30 -9.19 482
FE22 Bottom -30.64 -0.76 1244
FE23 Front -4.43 15.77 708
FE24 Front -42.17 -32.31 2723
FE25 Back -36.59 -12.17 2250
FE26 Back -27.92 40.99 87297
FE27 Front 2.84 17.86 603
FE28 Left 0.89 8.40 505
FE29 Bottom -4.09 -11.09 3332
FE30 Top -5.22 -25.71 8076
FE31 Left -32.73 -10.34 490
FE32 Right -35.83 -22.35 10120656
FE33 Back 18.58 6.28 3005
FE34 Right 2.01 33.29 4238
FE35 Top -1.91 40.72 880390
FE36 Right -20.74 43.95 526
FE37 Top -6.71 -14.34 2323
FE38 Bottom -27.28 21.02 2189
FE39 Front -1.67 8.47 3096
FE40 Bottom -41.51 -31.30 1107
FE41 Top 22.63 30.81 68082
FE42 Back -28.31 34.26 56525
FE43 Right 5.01 -37.23 5731
FE44 Left -2.64 23.59 23475
FE45 Back 43.77 -12.46 419
FE46 Left 42.72 24.37 117547
FE47 Right -31.69 -20.35 7925
FE48 Left -14.93 -27.14 347
FE49 Front -39.92 -31.60 2763
FE50 Bottom -10.43 32.64 4560
FE51 Bottom 9.86 6.28 2529
FE52 Back 33.82 -22.79 14596
FE53 Front -28.16 29.45 43823
FE54 Right -0.12 -20.18 881
FE55 Top -21.96 42.42 102139
