Name X Y BlueF GreenF RedF Size RadialVelocity
DG0060 -33.7081 -22.0423 3.310e-16 2.674e-16 1.268e-16 98.9282 913.95
DG0095 -15.9673 -11.3480 1.374e-16 1.141e-16 4.951e-17 46.8357 1607.15
DG0096 -15.9819 -11.3060 1.607e-16 1.258e-16 6.386e-17 55.9364 1605.61
DG0097 -15.9580 -11.3102 1.477e-16 1.160e-16 4.996e-17 47.1341 1607.02
DG0104 -13.7537 44.5184 8.291e-15 6.739e-15 3.022e-15 366.1794 205.37
DG0107 -34.1346 36.9015 7.709e-26 1.767e-27 8.476e-33 228.8261 412.87
DG0108 -33.5479 36.4626 1.546e-15 1.256e-15 5.116e-16 218.6926 412.29
DG0109 -33.8030 37.0718 2.116e-15 1.664e-15 6.580e-16 152.4482 413.12
DG0110 -33.7755 36.9716 2.078e-15 1.900e-15 8.181e-16 179.088 413.03
DG0143 10.4602 -9.5283 8.832e-17 7.866e-17 3.600e-17 42.2272 1756.5
DG0155 -37.5754 27.9442 1.121e-15 8.524e-16 2.848e-16 205.6899 1003.47
DG0156 -38.1919 28.1233 3.838e-16 3.095e-16 1.285e-16 67.9865 1002.75
DG0157 -37.3566 27.7937 5.365e-16 4.235e-16 1.663e-16 88.5415 1002.36
DG0158 -37.7341 27.3171 6.199e-26 1.543e-27 7.109e-33 77.8714 1002.96
DG0159 -37.3862 27.4623 3.665e-16 2.985e-16 1.227e-16 69.6941 1001.06
DG0160 -37.2074 27.7075 5.979e-26 1.693e-27 7.863e-33 99.7186 998.82
DG0161 -37.6409 28.3812 6.815e-26 1.615e-27 7.520e-33 87.0928 998.69
DG0162 -37.1833 27.4276 3.811e-16 2.955e-16 1.410e-16 73.6533 999.19
DG0163 -37.1962 28.1455 4.035e-16 3.523e-16 1.579e-16 94.9491 1002.5
DG0164 -37.8296 28.3907 3.581e-16 2.953e-16 1.423e-16 80.4321 998.24
DG0165 -37.6756 27.5360 4.217e-16 3.254e-16 1.377e-16 90.7068 1002.29
DG0166 -37.1332 27.8342 4.084e-16 2.912e-16 1.331e-16 78.44 999.29
DG0167 -37.1311 28.1921 4.159e-16 3.390e-16 1.634e-16 78.8818 1001.7
DG0168 -38.1038 28.2852 3.735e-16 3.369e-16 1.452e-16 85.248 1002.87
DG0193 -27.4114 26.8507 2.514e-14 1.982e-14 6.676e-15 1102.6198 163.82
DG0194 -22.4447 26.2042 9.402e-15 8.174e-15 3.482e-15 425.548 165.8
DG0195 -29.5478 30.3310 1.080e-14 8.641e-15 3.994e-15 427.1348 169.28
DG0196 -26.3999 28.7666 8.195e-15 6.369e-15 2.698e-15 921.296 170.0
DG0197 -30.7085 23.4704 1.005e-14 8.865e-15 3.962e-15 447.4152 165.75
DG0198 -29.1224 22.4450 1.723e-25 4.775e-27 2.229e-32 447.027 169.04
DG0199 -29.0890 29.3006 6.465e-15 5.282e-15 2.369e-15 696.1805 163.5
DG0200 -24.8987 29.7427 1.110e-14 8.285e-15 3.675e-15 461.6391 170.75
DG0201 -27.4209 26.2768 2.093e-25 5.492e-27 2.590e-32 506.1599 163.96
DG0202 -22.4245 23.0525 7.556e-15 6.052e-15 2.698e-15 490.6812 170.61
DG0203 -28.4466 24.5750 8.534e-15 6.792e-15 2.762e-15 396.7947 170.7
DG0204 -30.2222 25.1772 1.032e-14 8.422e-15 3.946e-15 490.7444 164.08
DG0205 -21.6571 26.8189 7.506e-15 5.891e-15 2.552e-15 492.4583 171.36
DG0206 -27.4083 24.2162 9.992e-15 7.620e-15 3.566e-15 457.8259 170.46
DG0207 -27.9218 30.2946 9.305e-15 7.003e-15 2.804e-15 353.7217 168.62
DG0208 -28.8304 22.0589 1.051e-14 8.243e-15 3.920e-15 384.2055 165.94
DG0209 -25.7308 22.9422 2.094e-25 5.336e-27 2.467e-32 460.2106 164.58
DG0210 -24.5623 26.5871 1.889e-25 4.819e-27 1.865e-32 409.7025 168.08
DG0211 -29.5780 23.0799 7.191e-15 5.742e-15 2.718e-15 435.786 161.15
DG0212 -25.0618 28.3895 1.073e-14 8.426e-15 4.218e-15 443.1424 165.85
DG0213 -26.7936 23.3165 1.086e-14 7.795e-15 3.414e-15 391.6003 169.6
DG0214 -23.5987 24.6744 9.707e-15 8.541e-15 3.625e-15 464.2161 170.98
DG0215 -30.3208 24.3174 7.300e-15 6.903e-15 2.749e-15 496.5041 166.6
DG0216 -26.8449 26.7812 6.552e-15 5.226e-15 2.048e-15 1121.3115 166.54
DG0217 -28.1915 29.5297 1.361e-14 1.083e-14 3.958e-15 437.0606 169.87
DG0218 -29.6760 31.2118 1.113e-14 7.946e-15 3.591e-15 368.6094 168.32
DG0219 -26.7915 25.8774 7.266e-15 5.580e-15 2.510e-15 972.3154 170.53
DG0270 -43.9875 35.4156 1.242e-15 9.096e-16 3.137e-16 211.4276 908.36
DG0271 -43.7250 35.4184 5.240e-16 4.204e-16 1.705e-16 97.5653 909.11
DG0272 -43.9898 35.1738 5.989e-26 1.439e-27 7.165e-33 98.6359 909.31
DG0273 -43.6859 35.6098 4.846e-16 3.696e-16 1.564e-16 75.7304 909.3
DG0274 -43.9498 34.8876 4.365e-16 3.888e-16 1.980e-16 84.5517 908.14
DG0275 -44.0682 35.3675 4.459e-16 3.656e-16 1.668e-16 68.1142 908.48
DG0276 -44.5465 35.6330 4.357e-16 3.436e-16 1.518e-16 79.7771 906.41
DG0277 -44.4945 35.5079 4.581e-16 3.715e-16 1.595e-16 84.1652 908.28
DG0278 -43.9132 35.3088 4.632e-16 4.147e-16 1.935e-16 95.5746 906.62
DG0279 -44.0736 35.2980 4.534e-16 3.604e-16 1.625e-16 80.7712 907.31
DG0345 -30.9893 30.1425 1.619e-16 1.361e-16 6.715e-17 67.9749 1295.69
DG0388 37.8563 -25.0965 3.711e-16 2.564e-16 9.469e-17 81.2835 1864.29
DG0389 37.9323 -25.1877 1.997e-25 4.925e-27 2.612e-32 53.6578 1862.88
DG0390 38.0526 -25.1195 1.384e-16 1.117e-16 5.104e-17 45.6561 1864.34
DG0391 37.4918 -24.8524 8.428e-17 7.544e-17 3.298e-17 48.0821 1858.44
DG0392 37.4354 -25.1520 1.232e-16 1.008e-16 4.188e-17 39.7024 1861.9
DG0393 37.7854 -24.7838 1.164e-16 1.010e-16 4.408e-17 40.1607 1860.59
DG0394 38.2321 -25.2140 1.927e-25 5.319e-27 2.531e-32 45.8374 1860.4
DG0395 37.5096 -25.2022 1.651e-16 1.356e-16 5.879e-17 38.8026 1861.17
DG0396 37.8282 -25.1892 1.977e-25 5.170e-27 2.421e-32 48.7525 1859.51
DG0397 38.2362 -25.1050 1.275e-16 1.122e-16 4.811e-17 39.1451 1860.36
DG0398 38.2456 -24.9947 1.305e-16 1.114e-16 5.488e-17 50.9722 1864.36
DG0399 37.7871 -25.1871 1.063e-16 7.587e-17 3.723e-17 67.0348 1861.98
DG0400 38.0223 -25.3477 1.223e-16 9.523e-17 4.558e-17 44.8033 1860.2
DG0401 37.6768 -25.2672 1.273e-16 1.020e-16 4.350e-17 39.3445 1858.96
DG0402 38.0815 -25.0873 1.233e-16 1.164e-16 5.605e-17 41.5701 1863.37
