Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S004141 43.6486 19.7034 2.052e-19 2.710e-19 3.435e-19 0.001 104.89 0.0
S004142 43.6815 19.6834 4.355e-17 6.113e-17 8.957e-17 0.0 104.23 0.0
S004143 43.6666 19.7202 4.495e-17 3.994e-17 2.378e-17 0.0 105.22 0.0
S004144 43.602 19.6851 1.675e-16 1.365e-16 6.495e-17 0.0 106.47 0.0
S004145 43.6504 19.7215 3.133e-21 2.204e-21 7.913e-22 0.0 108.21 0.0
S004146 43.653 19.6588 4.407e-20 7.224e-20 1.438e-19 0.0 105.96 0.0
S004147 43.6576 19.6943 6.550e-20 1.035e-19 1.986e-19 0.0 107.83 0.0
S004148 43.6817 19.6815 1.181e-21 2.549e-21 9.312e-21 0.0 106.46 0.0
S004149 43.5941 19.703 7.382e-21 1.346e-20 3.393e-20 0.0 106.34 0.0
S004150 43.6152 19.6872 1.547e-19 2.304e-19 3.862e-19 0.0 104.58 0.0
S004151 43.6291 19.7398 8.286e-18 7.807e-18 5.024e-18 0.0 107.45 0.0
S004152 43.6787 19.6904 3.991e-17 3.510e-17 2.003e-17 0.0 106.18 0.0
S004153 43.6262 19.7069 1.795e-21 1.396e-21 5.844e-22 0.0 106.35 0.0
S004154 43.6433 19.7033 2.621e-20 4.378e-20 9.199e-20 0.0 107.26 0.0
S004155 43.6406 19.7323 1.316e-17 2.070e-17 3.706e-17 0.0 106.36 0.0
S004156 43.6257 19.6992 1.079e-18 1.233e-18 1.135e-18 0.001 104.71 0.0
S004157 43.6088 19.6664 2.613e-21 5.133e-21 1.566e-20 0.0 108.47 0.0
S004158 43.6162 19.6829 6.204e-21 1.100e-20 2.652e-20 0.0 106.57 0.0
S004159 43.6525 19.7273 1.575e-18 1.725e-18 1.462e-18 0.0 108.83 0.0
S004160 43.6255 19.7192 8.008e-23 2.077e-22 1.115e-21 0.0 105.97 0.0
S004161 43.6195 19.6892 8.058e-17 1.258e-16 2.265e-16 0.0 104.82 0.0
S004162 43.5571 19.6686 3.282e-21 2.316e-21 8.124e-22 0.0 106.32 0.0
S004163 43.608 19.6735 1.127e-16 9.196e-17 4.492e-17 0.0 106.47 0.0
S004164 43.6343 19.6628 4.270e-18 4.168e-18 2.847e-18 0.0 107.82 0.0
S004165 43.6901 19.7309 4.010e-19 5.153e-19 6.462e-19 0.0 105.83 0.0
S004166 43.6138 19.6944 3.152e-19 4.102e-19 5.220e-19 0.0 106.07 0.0
S004167 43.6011 19.6939 6.476e-17 5.288e-17 2.589e-17 0.0 108.7 0.0
S004168 43.6021 19.6426 6.361e-17 5.536e-17 2.942e-17 0.0 108.32 0.0
S004169 43.588 19.6701 8.022e-18 7.948e-18 5.645e-18 0.0 108.42 0.0
S004170 43.6528 19.7129 6.507e-21 1.194e-20 3.027e-20 0.0 107.2 0.0
S004171 43.631 19.7218 1.350e-25 7.030e-25 1.532e-23 0.0 107.13 0.0
S004172 43.6451 19.6902 2.180e-20 3.779e-20 8.591e-20 0.0 104.89 0.0
S004173 43.5799 19.6838 1.861e-22 4.928e-22 2.711e-21 0.0 104.14 0.0
S004174 43.606 19.6839 2.460e-21 4.801e-21 1.402e-20 0.0 106.18 0.0
S004175 43.5783 19.646 3.031e-21 5.627e-21 1.504e-20 0.0 104.49 0.0
S004176 43.6469 19.7053 4.465e-17 1.051e-16 4.468e-16 0.0 107.84 1.0
S004177 43.6119 19.724 1.219e-21 2.647e-21 9.823e-21 0.0 106.04 0.0
S004178 43.6644 19.7086 1.786e-16 1.491e-16 7.387e-17 0.0 106.84 0.0
S004179 43.639 19.711 2.784e-18 3.014e-18 2.532e-18 0.0 108.79 0.0
S004180 43.6678 19.7023 3.836e-19 5.002e-19 5.935e-19 0.0 108.77 0.0
S004181 43.6579 19.7044 2.412e-20 4.149e-20 9.151e-20 0.0 106.62 0.0
S004182 43.6023 19.6691 5.879e-22 1.243e-21 4.216e-21 0.0 104.71 0.0
S004183 43.6081 19.6769 1.270e-19 1.804e-19 2.648e-19 0.0 104.92 0.0
S004184 43.6126 19.6946 4.169e-23 1.131e-22 6.546e-22 0.0 106.21 0.0
S004185 43.6185 19.7482 1.041e-19 1.497e-19 2.212e-19 0.0 108.18 0.0
S004186 43.6683 19.6721 1.751e-17 1.653e-17 1.086e-17 0.0 104.21 0.0
S004187 43.6456 19.6751 1.260e-18 1.436e-18 1.369e-18 0.0 107.2 0.0
S004188 43.6439 19.6923 2.638e-19 3.414e-19 4.055e-19 0.0 104.89 0.0
S004189 43.5959 19.6816 4.902e-18 5.013e-18 3.741e-18 0.0 106.07 0.0
S004190 43.6123 19.6492 1.753e-16 1.348e-16 5.678e-17 0.0 105.12 1.0
S004191 43.6385 19.671 7.212e-24 2.189e-23 1.578e-22 0.0 107.93 0.0
