Name X Y BlueF GreenF RedF Size RadialVelocity
DG0054 -11.7987 -18.9041 3.727e-15 3.125e-15 1.313e-15 329.3737 281.89
DG0083 -16.0920 35.7907 2.484e-15 1.958e-15 9.050e-16 408.3937 279.71
DG0084 -16.5341 36.1505 9.121e-26 2.426e-27 1.175e-32 318.8639 279.97
DG0085 -16.5452 35.3865 9.341e-26 2.561e-27 1.275e-32 301.768 278.98
DG0086 -16.6646 36.1765 9.217e-26 2.668e-27 1.185e-32 298.4965 280.02
DG0087 -15.8725 36.0931 3.823e-15 3.014e-15 1.338e-15 238.8423 278.21
DG0144 -6.9123 -25.9353 3.661e-16 2.921e-16 9.631e-17 98.533 1786.3
DG0145 -6.8950 -26.1361 1.221e-16 1.043e-16 4.736e-17 44.905 1785.02
DG0146 -6.8410 -25.8877 1.265e-16 9.930e-17 4.644e-17 43.8993 1786.82
DG0147 -6.9087 -26.1178 1.756e-25 4.905e-27 2.409e-32 53.5592 1786.24
DG0148 -6.9475 -25.7365 9.222e-17 7.364e-17 3.364e-17 55.1688 1784.82
DG0149 -6.9656 -26.1190 1.355e-16 1.118e-16 5.264e-17 47.1355 1785.54
DG0150 -6.8920 -25.7186 1.838e-16 1.576e-16 6.422e-17 51.8099 1784.71
DG0151 -7.0045 -26.0442 1.834e-25 4.812e-27 2.309e-32 49.3559 1785.13
DG0152 -6.7636 -25.8774 1.212e-16 1.008e-16 4.391e-17 43.3477 1787.4
DG0153 -6.8959 -26.0823 1.738e-25 4.926e-27 2.149e-32 41.5002 1784.88
DG0154 -6.7580 -25.7811 1.127e-16 1.056e-16 4.822e-17 42.8924 1786.79
DG0169 20.9483 -44.1491 5.884e-15 4.592e-15 2.153e-15 304.804 243.22
DG0170 20.5077 -43.6506 6.178e-15 4.885e-15 1.879e-15 326.07 243.17
DG0171 20.4885 -44.2002 4.195e-15 3.319e-15 1.425e-15 491.5071 243.19
DG0172 -3.9691 -19.0622 1.092e-16 8.978e-17 4.269e-17 55.7123 1639.31
DG0173 11.9527 15.3773 1.099e-16 9.336e-17 4.436e-17 84.0175 1692.8
DG0174 12.0248 15.3803 1.482e-16 1.233e-16 5.558e-17 51.5603 1691.45
DG0175 11.9028 15.4093 1.232e-25 3.646e-27 1.739e-32 58.5475 1692.41
DG0176 11.9067 15.4897 1.490e-16 1.069e-16 5.079e-17 47.6384 1692.31
DG0177 11.9210 15.4603 1.356e-25 3.365e-27 1.731e-32 49.7522 1692.63
DG0178 12.0088 15.3697 1.478e-16 1.140e-16 5.676e-17 42.9105 1691.44
DG0192 22.5621 -13.5124 6.376e-17 6.061e-17 2.771e-17 47.7629 2090.21
DG0370 6.6907 -17.0070 1.366e-14 1.077e-14 3.126e-15 542.416 275.17
DG0371 5.0840 -16.9283 4.364e-15 3.512e-15 1.516e-15 252.745 278.21
DG0372 7.5891 -16.7262 5.471e-15 4.157e-15 1.997e-15 348.5103 277.57
