Name X Y BlueF GreenF RedF Size RadialVelocity
DG0009 -7.7659 43.1639 9.402e-16 7.334e-16 2.255e-16 169.9407 1061.52
DG0010 -7.7769 42.5364 5.839e-26 1.650e-27 7.215e-33 87.7151 1062.65
DG0011 -6.6414 43.1711 3.135e-16 2.389e-16 1.268e-16 65.0737 1061.13
DG0012 -7.9454 43.6591 2.274e-16 1.885e-16 8.887e-17 81.3814 1067.11
DG0013 -8.1078 43.2136 2.911e-16 2.751e-16 1.154e-16 69.0895 1063.41
DG0014 -6.7611 43.4079 3.735e-16 2.905e-16 1.324e-16 79.3667 1064.71
DG0015 -8.5104 43.7570 3.298e-16 2.746e-16 1.142e-16 63.6649 1061.33
DG0016 -8.3145 42.6675 2.998e-16 2.391e-16 1.128e-16 70.7759 1064.25
DG0017 -7.1320 42.6656 2.362e-16 1.850e-16 8.337e-17 100.8668 1057.93
DG0018 -8.1324 43.1031 6.388e-26 1.683e-27 7.922e-33 78.6932 1064.31
DG0019 -8.7825 43.3867 3.625e-16 2.963e-16 1.408e-16 75.5209 1064.62
DG0020 -8.5823 43.6178 6.674e-26 1.651e-27 8.054e-33 81.8573 1059.75
DG0021 -7.7649 43.7311 3.241e-16 2.626e-16 1.160e-16 68.0553 1064.98
DG0022 -8.7445 44.0640 4.767e-16 3.818e-16 1.586e-16 71.6597 1061.27
DG0023 -7.5277 42.3236 3.528e-16 2.563e-16 1.180e-16 64.9427 1067.4
DG0024 -7.9299 43.9443 3.321e-16 2.884e-16 1.158e-16 74.1258 1064.24
DG0025 -7.7454 41.7137 3.352e-16 2.650e-16 1.227e-16 57.2867 1061.42
DG0026 -7.5302 42.3232 2.229e-16 1.944e-16 7.851e-17 120.5373 1064.65
DG0027 -7.2896 42.2268 3.194e-16 2.413e-16 1.190e-16 69.6385 1059.28
DG0028 -7.5029 43.7072 6.547e-26 1.621e-27 8.111e-33 78.777 1059.56
DG0029 -8.1272 44.4608 3.069e-16 2.543e-16 1.138e-16 70.0978 1057.52
DG0030 -7.7644 42.0919 4.366e-16 3.781e-16 1.409e-16 80.4073 1062.74
DG0031 -7.9546 43.5579 2.169e-16 2.176e-16 8.809e-17 105.3688 1063.79
DG0032 -7.0896 42.5617 3.253e-16 2.801e-16 1.279e-16 72.478 1063.09
DG0033 -7.0393 42.7614 3.388e-16 2.921e-16 1.384e-16 87.0877 1060.31
DG0034 -8.0363 43.5413 3.376e-16 2.715e-16 1.187e-16 64.0006 1064.52
DG0035 -7.6356 43.5987 3.510e-16 2.664e-16 1.205e-16 60.8107 1064.35
DG0036 -8.7716 42.9700 3.430e-16 2.830e-16 1.254e-16 75.0403 1060.7
DG0037 -7.4332 42.7658 2.296e-16 1.987e-16 8.509e-17 118.1726 1067.12
DG0038 -6.8753 43.9160 3.223e-16 2.645e-16 1.172e-16 67.3555 1055.07
DG0039 -8.3957 42.2474 2.269e-16 1.922e-16 8.338e-17 76.4234 1059.47
DG0040 -8.4456 43.9179 6.518e-26 1.692e-27 7.174e-33 91.4866 1066.15
DG0041 -6.8182 42.2184 2.366e-16 1.847e-16 8.739e-17 102.0524 1064.03
DG0042 -7.9626 43.0257 2.347e-16 1.914e-16 8.967e-17 113.706 1062.13
DG0043 -7.5231 42.1702 3.488e-16 3.116e-16 1.293e-16 82.5855 1061.97
DG0044 -7.5631 42.3004 3.374e-16 2.364e-16 1.191e-16 64.8233 1064.21
DG0045 -7.0381 43.0487 2.221e-16 1.726e-16 8.226e-17 96.7727 1062.27
DG0046 -7.2253 42.8067 2.290e-16 1.957e-16 8.051e-17 102.9261 1055.78
DG0047 -8.6687 43.0570 3.801e-16 3.176e-16 1.342e-16 80.7426 1067.28
DG0089 -15.0173 -35.0896 6.732e-15 5.261e-15 2.493e-15 336.75 215.64
DG0090 -15.3683 -35.5671 5.046e-15 3.942e-15 1.701e-15 341.9979 214.84
DG0091 -14.6683 -35.4026 4.629e-15 3.929e-15 1.695e-15 319.229 214.99
DG0220 8.4072 28.8072 1.295e-16 1.143e-16 4.995e-17 65.7563 1515.11
DG0221 -31.8176 -19.0919 5.410e-15 3.685e-15 1.277e-15 460.8659 408.39
DG0222 -31.9079 -20.2083 1.972e-15 1.673e-15 7.733e-16 188.7615 411.72
DG0223 -32.4550 -18.5240 1.261e-15 9.686e-16 3.959e-16 226.3487 409.27
DG0224 -31.7744 -19.7488 1.629e-15 1.200e-15 6.046e-16 352.5078 411.44
DG0225 -30.3500 -19.1265 6.876e-26 1.882e-27 7.995e-33 227.9074 409.52
DG0226 -31.4053 -19.2866 1.916e-15 1.485e-15 6.665e-16 183.5297 415.51
DG0227 -33.4842 -19.2780 1.946e-15 1.681e-15 7.010e-16 191.2265 410.07
DG0228 -31.6540 -20.3994 1.875e-15 1.571e-15 6.853e-16 179.4653 416.08
DG0229 -32.9101 -19.7881 6.927e-26 1.762e-27 8.601e-33 189.7334 411.71
DG0230 -30.6277 -17.5993 6.540e-26 1.774e-27 7.931e-33 245.5498 410.26
DG0231 -32.0382 -19.4160 1.389e-15 1.121e-15 5.264e-16 445.3975 412.22
DG0232 -33.6698 -19.4704 2.315e-15 1.650e-15 7.312e-16 195.2761 409.98
DG0233 -33.3641 -19.2996 1.888e-15 1.588e-15 6.924e-16 182.9678 410.71
DG0234 -31.5589 -19.2182 2.169e-15 1.533e-15 7.315e-16 175.3471 411.59
DG0235 -31.1238 -18.7151 6.916e-26 1.715e-27 9.158e-33 245.4477 414.82
DG0236 -31.6957 -20.3472 2.832e-15 2.062e-15 9.144e-16 182.2148 410.74
DG0237 -30.7121 -18.8747 1.761e-15 1.548e-15 7.036e-16 192.0715 408.64
DG0238 -32.7140 -18.7022 2.598e-15 1.952e-15 7.911e-16 199.6311 413.32
DG0239 -31.1105 -20.0638 7.026e-26 1.817e-27 8.914e-33 164.2731 412.52
DG0240 -31.9946 -18.7816 1.366e-15 1.228e-15 4.910e-16 358.4972 413.27
DG0241 -31.2315 -18.5363 1.487e-15 1.245e-15 5.380e-16 354.581 409.86
DG0256 -24.2659 42.9404 1.605e-15 1.186e-15 3.645e-16 263.848 770.89
DG0257 -23.5805 42.8739 6.401e-16 5.180e-16 2.281e-16 85.9412 772.71
DG0258 -24.5259 42.2323 5.633e-26 1.422e-27 6.797e-33 118.716 773.07
DG0259 -24.4224 42.7222 3.937e-16 3.085e-16 1.345e-16 161.3844 775.05
DG0260 -24.6631 43.8191 5.253e-26 1.422e-27 6.827e-33 116.0639 774.01
DG0261 -24.4086 43.3078 8.825e-16 6.236e-16 2.654e-16 94.6192 772.96
DG0262 -24.3381 42.7088 5.413e-16 4.563e-16 2.005e-16 84.0134 774.76
DG0263 -24.8463 43.0862 5.496e-16 3.963e-16 1.845e-16 89.7449 770.84
DG0264 -24.2471 43.0718 4.735e-16 3.755e-16 1.513e-16 183.8539 773.06
DG0265 -24.4630 42.4978 5.177e-26 1.482e-27 6.234e-33 116.8668 772.95
DG0266 -23.7894 43.0514 5.782e-16 5.056e-16 1.946e-16 98.5202 774.62
DG0267 -24.5200 42.3138 5.486e-26 1.347e-27 6.959e-33 93.1807 773.27
