Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S331864 173.6881 124.0749 6.011e-23 1.7119999999999997e-22 1.075e-21 0.0 132.39 0.0
S331865 173.6066 124.0073 2.612e-17 4.032e-17 7.031e-17 0.0 135.57 0.0
S331866 173.644 124.0369 5.367999999999999e-22 1.193e-21 4.355e-21 0.0 134.12 0.0
S331867 173.8003 124.0839 7.919999999999999e-23 2.1169999999999997e-22 1.1340000000000001e-21 0.0 133.06 0.0
S331868 173.6166 124.1183 2.517e-22 6.434999999999999e-22 3.334e-21 0.0 133.03 0.0
S331869 173.6287 124.0233 1.4469999999999998e-23 4.153e-23 2.6619999999999997e-22 0.0 135.18 0.0
S331870 173.6741 124.1031 7.568000000000001e-25 2.971e-24 3.824e-23 0.0 132.34 0.0
S331871 173.5915 123.9634 2.659e-23 7.676e-23 4.956e-22 0.0 136.15 0.0
S331872 173.6397 124.0368 3.336e-21 2.305e-21 7.84e-22 0.0 135.26 0.0
S331873 173.6739 124.041 5.512e-22 1.286e-21 5.306e-21 0.0 133.72 0.0
S331874 173.631 124.006 6.132e-24 2.057e-23 1.852e-22 0.0 135.66 0.0
S331875 173.6518 124.0058 1.862e-21 3.841e-21 1.254e-20 0.0 135.1 0.0
S331876 173.6378 124.0485 2.4669999999999998e-24 9.48e-24 1.0999999999999998e-22 0.0 133.68 0.0
S331877 173.676 124.1464 2.707e-21 5.756e-21 2.001e-20 0.001 132.18 0.0
S331878 173.6928 124.0258 3.3169999999999998e-22 7.390999999999999e-22 2.752e-21 0.0 133.9 0.0
S331879 173.6075 123.9347 7.461e-19 8.698e-19 8.45e-19 0.0 136.15 0.0
S331880 173.5666 123.9386 2.076e-21 1.484e-21 5.437e-22 0.0 136.31 0.0
S331881 173.6445 124.0572 1.488e-19 2.009e-19 2.72e-19 0.0 132.96 0.0
S331882 173.6747 124.0214 2.13e-24 7.589e-24 7.708999999999999e-23 0.0 134.25 0.0
S331883 173.6041 124.0875 4.4829999999999996e-23 1.262e-22 7.915e-22 0.0 133.65 0.0
S331884 173.6651 124.0442 3.23e-19 4.205e-19 5.093e-19 0.0 132.95 0.0
S331885 173.6409 124.0225 1.192e-22 2.7809999999999997e-22 1.16e-21 0.0 135.4 0.0
S331886 173.667 124.0394 9.277000000000001e-20 1.25e-19 1.613e-19 0.0 133.65 0.0
