Name X Y BlueF GreenF RedF Size RadialVelocity
DG0048 -17.3781 15.6098 1.387e-16 1.288e-16 5.514e-17 89.2101 1414.61
DG0049 -17.3793 15.6759 1.993e-16 1.770e-16 6.753e-17 51.0254 1414.88
DG0050 -17.4000 15.5086 2.116e-16 1.816e-16 7.754e-17 55.9933 1415.56
DG0051 -17.4038 15.6764 2.019e-16 1.814e-16 7.846e-17 59.7045 1415.69
DG0052 -17.2789 15.5355 3.047e-16 2.388e-16 9.478e-17 62.8737 1415.93
DG0053 -17.3750 15.7363 1.895e-16 1.739e-16 7.719e-17 66.5752 1414.62
DG0088 32.8586 -32.0695 7.459e-17 6.246e-17 3.111e-17 49.628 2028.04
DG0092 24.5020 -31.4678 2.420e-16 2.166e-16 8.018e-17 84.2623 1083.14
DG0093 24.5957 -31.2263 6.139e-26 1.528e-27 8.312e-33 80.5203 1083.8
DG0094 24.5875 -31.3350 6.480e-26 1.604e-27 7.797e-33 92.1226 1083.04
DG0098 44.3614 -14.4914 4.315e-15 3.766e-15 1.517e-15 851.1339 203.45
DG0099 44.1466 -14.4757 7.304e-15 6.317e-15 2.659e-15 394.4129 202.23
DG0100 42.8555 -13.8679 1.540e-25 3.891e-27 1.719e-32 425.9216 204.26
DG0101 42.9169 -13.9366 1.463e-25 3.779e-27 1.709e-32 431.2641 203.83
DG0102 44.2715 -14.0095 1.376e-25 3.694e-27 1.853e-32 454.691 204.79
DG0103 43.4094 -12.7837 1.490e-25 4.062e-27 1.892e-32 464.5079 205.57
DG0105 42.4039 -14.6962 7.497e-15 6.226e-15 2.743e-15 399.5762 205.39
DG0106 43.2113 -13.3130 7.790e-15 5.686e-15 2.483e-15 408.2408 203.92
DG0280 24.6603 0.6192 7.661e-17 5.973e-17 2.937e-17 38.2667 1990.91
DG0285 -38.4587 28.8265 5.391e-16 4.871e-16 1.975e-16 196.1544 658.15
DG0286 -38.9344 28.9778 5.580e-26 1.387e-27 6.487e-33 168.5147 658.35
DG0287 -38.9439 28.8722 5.930e-16 5.049e-16 2.172e-16 119.2956 658.62
DG0288 -38.5430 28.5688 7.559e-16 6.562e-16 2.830e-16 120.2194 658.64
DG0289 -38.4092 28.4583 9.100e-16 7.323e-16 3.141e-16 128.0271 656.52
DG0341 10.8771 12.1828 1.027e-16 8.618e-17 3.369e-17 63.1477 1624.8
DG0342 10.8973 12.0763 1.378e-16 1.189e-16 5.740e-17 49.8351 1625.06
DG0343 10.9316 12.2255 1.038e-16 8.132e-17 3.502e-17 64.4823 1624.4
DG0344 10.8922 12.2484 2.292e-16 1.764e-16 6.975e-17 47.4389 1624.98
DG0385 4.6159 -11.7603 4.140e-15 3.231e-15 1.382e-15 253.428 296.74
DG0386 4.7072 -11.7693 3.791e-15 3.394e-15 1.374e-15 274.4737 297.27
DG0429 -7.0791 -36.2262 1.310e-16 1.139e-16 5.399e-17 117.8588 1387.53
DG0430 -7.0199 -36.0110 2.023e-16 1.729e-16 8.064e-17 55.6216 1386.9
DG0431 -7.1415 -36.4181 1.998e-16 1.703e-16 6.958e-17 54.0195 1386.55
DG0432 -7.0782 -35.9478 2.209e-16 1.871e-16 9.055e-17 74.9691 1386.11
DG0433 -7.0112 -36.2153 2.158e-16 1.745e-16 7.909e-17 55.1487 1385.71
DG0434 -7.0569 -36.2620 1.559e-16 1.322e-16 5.588e-17 126.7656 1387.52
DG0435 -6.9146 -36.2079 2.129e-16 2.020e-16 8.103e-17 55.8897 1385.87
DG0591 26.7503 -25.3509 5.510e-16 4.307e-16 1.790e-16 96.9125 932.21
DG0592 26.7213 -25.3029 4.176e-16 3.366e-16 1.501e-16 82.3964 932.7
DG0593 26.6839 -25.1991 5.841e-26 1.475e-27 6.884e-33 107.4939 932.44
DG0594 26.6261 -24.9956 2.945e-16 2.217e-16 1.094e-16 85.5518 932.58
DG0637 10.4362 40.6729 7.243e-15 5.448e-15 1.808e-15 750.0088 330.7
DG0638 11.6300 40.0340 2.886e-15 2.426e-15 1.134e-15 233.9584 331.56
DG0639 10.0777 40.6066 1.808e-15 1.601e-15 6.814e-16 477.6934 333.5
DG0640 9.5670 40.8312 2.710e-15 2.099e-15 9.579e-16 240.0691 332.13
DG0641 11.4062 41.4429 2.682e-15 2.191e-15 1.050e-15 210.0811 330.36
