Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0238 318.1136 34.4925 2.746e-14 1.775e-14 6.276e-15 1072.695 174.25
DG0239 311.9117 35.0792 1.022e-14 5.113e-15 2.296e-15 375.8053 172.12
DG0240 323.6597 33.6651 9.143e-15 4.292e-15 3.335e-15 490.7864 174.62
DG0241 316.577 33.4329 8.376e-15 6.892e-15 3.046e-15 404.1116 174.56
DG0242 318.2611 34.7903 1.523e-14 6.297e-15 4.918e-15 518.3678 173.79
DG0243 313.5225 34.3273 7.988e-15 5.801e-15 3.928e-15 759.987 174.22
DG0244 315.1426 34.7143 1.224e-14 7.121e-15 3.941e-15 461.8546 172.73
DG0245 312.8334 34.2974 1.008e-14 6.529e-15 2.181e-15 368.3242 173.32
DG0246 319.3626 36.7176 1.178e-14 8.017e-15 3.6e-15 533.867 174.19
DG0247 315.4876 32.4776 9.261e-15 8.025e-15 2.319e-15 445.613 173.11
DG0248 317.5939 34.853 6.461e-15 5.508e-15 2.409e-15 854.0731 174.13
DG0249 313.7448 36.7589 1.399e-14 9.136e-15 4.713e-15 479.9791 173.4
DG0250 320.3015 33.5896 1.07e-14 7.091e-15 2.8e-15 399.8348 174.68
DG0251 318.6397 36.8255 1.149e-14 7.687e-15 3.474e-15 430.3404 174.64
DG0252 317.2093 34.3259 1.419e-14 1.21e-14 5.034e-15 519.7812 173.59
DG0253 314.3324 32.9312 1.164e-14 7.997e-15 4.019e-15 509.7763 173.75
DG0254 315.5294 30.5517 7.281e-15 9.03e-15 4.186e-15 581.6487 173.32
DG0255 313.9717 34.3174 1.106e-14 8.657e-15 3.427e-15 577.987 174.33
DG0256 310.783 31.4769 8.003e-15 6.228e-15 3.736e-15 462.2956 174.29
DG0257 326.8057 34.6613 8.893e-15 6.609e-15 2.641e-15 418.9504 174.81
DG0258 323.5204 32.215 5.399e-15 4.983e-15 2.319e-15 545.325 174.5
DG0259 325.2501 36.5239 8.665e-15 7.802e-15 2.444e-15 382.5013 173.56
DG0260 318.5119 32.6555 8.666e-15 7.621e-15 4.853e-15 465.8691 174.79
DG0261 308.7185 33.8766 1.124e-14 9e-15 3.962e-15 475.0035 172.93
DG0262 317.2598 30.865 6.616e-15 5.512e-15 2.479e-15 655.3775 174.05
DG0263 321.907 39.3974 1.556e-14 1.111e-14 5.226e-15 436.5784 171.63
DG0264 320.5036 36.375 9.726e-15 5.856e-15 3.207e-15 397.5532 173.19
DG0265 313.7311 30.4154 6.936e-15 5.786e-15 2.57e-15 466.1051 174.18
DG0266 323.4044 32.0948 1.019e-14 7.033e-15 3.652e-15 422.9416 173.54
