Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Right 12.47 -38.00 285.49 129.14 6 26510 890 57322132
Top -23.32 -2.32 5.69 27.51 8 7838 1131 96217031
Bottom -25.42 -21.05 320.38 143.74 5 27139 765 45101964
Back -32.50 20.82 324.16 69.44 3 9270 500 21625133
Top 18.35 29.18 237.83 37.45 27 19800 3118 342816806
Top -26.06 -23.25 41.74 37.82 13 22669 1696 187318990
Right -8.22 16.81 259.65 69.82 14 24357 1804 206543069
Bottom 1.42 18.36 94.43 157.75 3 17953 500 21931856
Back -16.46 -44.41 339.91 132.82 1 9341 200 6897153
Bottom 18.08 -3.45 190.81 157.75 7 26395 1012 82684468
Right -28.24 -19.49 237.89 110.14 6 349466 890 1116903
Back 18.77 -30.85 22.64 122.32 5 280313 765 743534
Top 17.23 -26.78 122.75 35.28 2 248832 356 116831
Left 41.39 -4.88 132.61 94.57 2 328299 356 98725
Front 22.11 17.43 206.17 70.83 10 358554 1363 3924072
Left -25.02 -0.94 60.92 91.04 2 344829 356 76815
Top 12.09 -17.41 124.79 25.22 1 366972 200 19349
Left -28.57 -38.53 57.59 125.86 3 372230 500 223863
Top 5.56 -1.07 169.12 7.17 5 211447 765 631558
Front 21.85 34.47 205.90 55.43 9 354891 1248 2782415
Back -4.10 8.29 354.79 79.61 1 331836 200 17994
Right 33.68 -1.14 306.81 91.16 8 57276 1131 1793804
Top -4.80 -25.59 79.37 30.05 26 352264 3021 36335933
Top 0.73 -7.49 95.60 9.50 9 330218 1248 2903451
Front -0.11 6.94 179.86 81.24 1 337550 200 18715
Back 24.96 -25.18 29.02 116.07 49 337099 5123 200101507
Back -43.62 40.96 315.89 56.83 5 403603 765 622613
Right 1.37 -7.18 271.74 99.06 6 304495 890 1082076
Back -30.69 -32.16 325.70 120.55 7 216041 1012 1481221
Left 31.09 -14.20 124.64 104.55 1 275118 200 18558
Top -27.10 -30.86 48.72 42.39 1 262172 200 20126
Bottom -19.33 -33.39 300.08 139.39 17 266753 2120 13513430
Top -12.55 -23.98 62.38 31.03 2 379294 356 65147
Bottom 19.95 -21.76 227.49 146.74 6 327649 890 1109008
