Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Back -12.15 1.89 344.89 87.68 S0 24210 87 1141 393549 204
Right -1.26 -30.00 268.39 123.68 S0 22936 92 1120 420620 193
Top 26.01 -1.20 177.37 30.06 E3 22910 126 1351 1177701 736
Top 26.07 -1.44 176.85 30.12 SBa 22865 76 1299 517223 478
Top 25.84 -2.36 174.77 29.97 SBb 22875 72 1110 429763 433
Top 26.49 -1.13 177.56 30.50 SBa 22685 94 1130 546174 348
Top 24.82 -0.94 177.84 28.90 SBc 22892 75 941 360181 313
Top 26.79 -0.92 178.03 30.78 SBa 23692 103 1020 707205 277
Front 9.71 2.63 192.17 86.73 cD 27487 290 1923 11710088 994
Front 6.28 1.68 187.94 87.88 SBb 27635 98 958 545175 355
Front 9.66 1.71 192.12 87.87 SBc 28711 77 757 327060 236
Front 11.28 4.80 194.07 84.10 SBb 26373 83 1073 496278 417
Front 12.43 0.68 195.44 89.17 Sb 27458 69 839 361347 297
Front 10.65 2.55 193.32 86.84 E5 25868 93 979 553259 404
Front 10.18 2.40 192.75 87.02 Sc 25757 71 856 322953 263
Front 7.70 2.03 189.71 87.45 Sa 28319 85 1044 461087 333
Front 12.31 0.70 195.30 89.14 SBc 26968 86 855 411934 261
Front 8.76 4.86 191.02 83.95 SBa 28790 82 1197 540148 422
Front 11.06 0.40 193.81 89.51 E4 27155 124 1129 1059681 618
Front 7.68 3.65 189.68 85.43 SBc 28342 81 929 393447 230
Front 9.73 3.25 192.21 85.96 SBc 28450 74 998 385821 380
Front 8.01 4.45 190.09 84.44 SBb 27389 92 1020 529043 334
Front 10.56 3.31 193.21 85.90 SBb 27385 93 950 529724 349
Front 11.57 2.14 194.42 87.36 E3 27011 146 1285 1608768 552
Front 9.30 1.60 191.68 88.00 E2 28138 154 1398 1943634 709
Front 12.24 1.38 195.22 88.30 Sc 28114 75 913 363501 286
Right -19.99 -2.24 246.05 92.61 S0 29672 78 1097 342527 183
Bottom -28.74 6.65 13.03 146.76 S0 28361 90 1188 420617 222
Left -12.77 30.92 74.16 56.54 S0 21112 104 1104 579803 241
Right 25.97 -35.78 299.99 124.55 cD 29840 233 1962 6443922 1166
Right 27.89 -42.70 301.79 128.89 Sb 31140 79 871 390155 262
Right 29.14 -38.30 302.93 125.55 Sc 27972 73 715 314802 215
Right 26.58 -37.15 300.57 125.40 E3 31111 138 1197 1388902 388
Right 19.44 -36.37 293.36 126.57 S0 30492 101 1049 513532 222
Right 30.16 -36.00 303.83 123.61 E5 28439 108 1033 772354 504
Right 28.15 -42.67 302.02 128.79 SBa 29475 90 1103 568651 371
Right 34.31 -37.92 307.32 123.82 SBa 29996 87 1086 523764 431
Right 22.93 -36.32 297.00 125.72 SBb 28564 97 1043 556345 341
Right 30.78 -39.32 304.37 125.80 E5 30589 100 995 616807 442
Right 27.24 -36.38 301.19 124.67 SBc 28769 79 850 385381 254
Right 27.51 -38.33 301.44 126.01 SBa 30762 73 1289 522690 430
Right 23.53 -42.61 297.61 130.00 SBc 29386 69 956 335700 252
Right 24.34 -32.79 298.41 122.66 SBc 28130 82 824 388432 223
Right 23.94 -36.50 298.02 125.61 E2 29100 153 1418 1951963 666
Right 20.21 -31.55 294.18 122.60 SBb 28479 82 1039 473722 353
Right 25.46 -28.94 299.50 119.23 Sc 30209 68 802 303996 264
Right 28.54 -37.01 302.39 124.78 SBc 31227 73 790 311070 255
Right 28.23 -35.76 302.10 123.95 S0 27310 86 1164 421908 201
Right 27.12 -38.31 301.08 126.10 E2 29286 169 1322 2622469 733
Right 32.20 -36.13 305.59 123.14 Sb 31210 76 846 378260 258
Right 24.77 -32.77 298.83 122.54 E4 31428 115 1173 915600 526
Right 33.44 -37.40 306.61 123.71 SBa 29625 83 1247 525289 422
Right 24.21 -37.42 298.28 126.22 E3 29085 139 1307 1484796 539
Right 28.46 -41.81 302.31 128.14 Sc 29128 69 792 323103 285
Right -5.66 -37.28 262.83 129.42 cD 17230 172 1653 2870198 923
Right -10.95 -36.80 256.32 128.47 Sa 16067 76 840 381126 376
Right -4.45 -32.71 264.35 125.88 E4 15582 100 1166 678556 551
Bottom 3.95 -41.18 264.52 137.41 SBc 18822 78 865 380030 346
Right -7.21 -29.64 260.90 123.04 Sa 16016 87 870 464260 317
Right -7.22 -43.51 260.89 133.67 E4 16216 121 1164 963231 486
Right -9.96 -44.98 257.52 134.30 E5 18480 92 1016 464650 361
Right -0.27 -33.75 269.66 126.87 SBa 15141 75 949 417022 355
Right -0.37 -41.09 269.54 132.40 SBa 18407 113 1092 744891 391
Right -7.50 -36.04 260.54 128.31 E1 17355 184 1511 3101472 755
Right 0.59 -42.55 270.75 133.40 SBb 18310 95 922 574055 369
Right -0.76 -32.04 269.03 125.45 SBb 15223 91 705 399912 238
Right -6.09 -37.81 262.30 129.78 E0 17397 200 1602 4046101 826
Right -7.47 -41.27 260.57 132.13 E2 17205 172 1399 2552216 585
Right -2.75 -34.06 266.50 127.07 S0 18985 78 1048 358371 231
Right -7.79 -30.01 260.18 123.31 E5 18403 100 1049 641684 467
Right -4.45 -35.77 264.36 128.34 E1 16753 185 1584 3487875 529
Right -9.24 -32.90 258.40 125.61 E4 18025 105 1158 675185 475
Right -3.41 -30.93 265.67 124.42 SBb 15053 88 1133 572652 329
Bottom 4.74 -42.75 263.67 136.30 E5 18218 105 981 695788 549
Right -0.68 -42.12 269.13 133.10 SBb 16649 74 1019 427008 355
Right -2.74 -35.95 266.51 128.57 S0 15134 88 1106 405310 224
Bottom 8.03 -44.49 259.77 134.87 Sb 14817 77 809 422400 275
Bottom 4.12 -43.85 264.63 135.62 Sb 17301 75 981 418148 334
Back -10.13 17.15 347.31 69.60 E3 8220 129 1164 1166690 543
Back -8.72 15.42 349.03 71.40 SBa 7487 79 924 416993 367
Back -6.70 15.78 351.53 70.87 SBa 8164 87 1177 534811 390
Back -11.87 12.19 345.22 75.32 SBb 8213 86 969 456406 267
Back -9.97 16.83 347.51 69.94 SBa 8889 90 1031 594969 365
Back -12.12 20.81 344.92 65.94 Sa 7926 77 943 421416 345
Right -30.14 -21.49 236.18 111.64 cD 2000 181 1870 3276276 877
Front 8.83 -5.85 191.10 97.27 SBb 1128 82 938 509115 356
Right -20.73 6.97 245.27 81.99 E3 1729 132 1165 1307516 536
Bottom 20.43 -36.76 240.94 136.94 SBb 1902 84 952 489013 241
Right 7.43 -2.02 279.37 92.54 SBc 2370 72 743 298233 216
Front 1.59 -18.87 182.02 112.74 SBa 2277 82 1209 547994 428
Front 10.19 -13.87 192.76 106.73 S0 1132 97 1063 427215 194
Right -41.23 4.62 227.50 85.67 SBc 3327 77 858 365496 281
Bottom 26.87 -32.32 230.26 136.96 Sb 1250 85 779 425533 278
Right -34.73 30.42 232.34 61.85 Sc 2077 72 801 314153 209
Right 8.95 -18.38 281.25 111.83 SBa 2328 97 951 597086 338
Right -26.03 -3.16 239.95 93.47 SBb 2893 74 1002 429507 395
Bottom 34.81 -39.75 228.79 130.42 SBc 2905 81 845 385691 249
Right 2.85 -7.93 273.63 99.97 SBb 2115 88 981 461939 281
Front -0.00 -0.00 180.00 90.00 Sa 50 79 1185 518984 400
