Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS03569,42.3534,8.6487,1.080e-18,1.094e-18,8.243e-19,0.0,62.71,0
BottomS03571,42.1305,8.2234,6.278e-18,1.540e-17,7.290e-17,0.0,64.58,1
BottomS03574,42.1499,8.2565,2.533e-20,3.115e-20,3.501e-20,0.001,63.49,0
BottomS03575,42.1021,8.2258,1.338e-20,1.891e-20,2.824e-20,0.0,64.09,0
BottomS03579,42.0346,8.2362,4.036e-20,5.094e-20,5.940e-20,-0.0,63.39,0
BottomS03584,42.0464,7.9069,2.709e-18,2.342e-18,1.301e-18,0.0,65.07,0
BottomS03590,42.1185,8.2477,1.537e-20,2.177e-20,3.268e-20,0.0,62.93,0
BottomS03598,42.1595,8.4887,9.728e-20,1.133e-19,1.172e-19,0.0,62.19,0
BottomS03599,42.1797,8.2949,1.008e-18,1.853e-18,4.577e-18,0.0,63.1,0
BottomS03602,42.1157,8.2298,9.845e-19,9.829e-19,6.853e-19,0.0,64.33,0
BottomS03605,42.1384,8.2732,3.485e-20,4.365e-20,5.064e-20,0.0,62.82,0
BottomS03620,42.1532,8.5275,3.064e-18,5.610e-18,1.485e-17,-0.001,62.34,0
BottomS03623,42.0936,8.2743,2.648e-19,2.883e-19,2.379e-19,-0.0,62.62,0
BottomS03629,42.0744,8.1955,4.029e-19,4.109e-19,2.999e-19,-0.0,64.55,0
BottomS03633,42.1465,8.1994,1.602e-20,2.328e-20,3.587e-20,-0.0,64.85,0
BottomS03646,41.8800,8.5094,1.380e-18,1.296e-18,8.116e-19,0.0,62.32,0
BottomS03648,42.1648,8.1967,1.666e-13,1.460e-13,7.997e-14,0.0,64.72,1
BottomS03652,42.3513,8.2397,3.566e-18,3.149e-18,1.793e-18,-0.001,63.95,0
BottomS03658,42.2998,8.3428,7.231e-20,8.040e-20,7.305e-20,0.0,63.13,0
BottomS03663,42.1302,8.2284,1.386e-13,1.058e-13,4.513e-14,-0.0,64.38,1
BottomS03664,41.7524,8.0957,4.660e-18,9.128e-18,2.673e-17,0.0,63.94,0
BottomS03668,42.1581,8.3246,6.691e-19,6.668e-19,4.614e-19,-0.0,62.47,0
BottomS03670,42.0941,8.2160,2.635e-14,1.739e-14,5.547e-15,-0.0,64.2,0
BottomS03689,42.1154,8.1217,6.912e-20,8.715e-20,9.833e-20,-0.0,65.15,0
BottomS03691,42.2017,8.3677,4.302e-19,4.549e-19,3.689e-19,0.0,62.58,0
BottomS03695,42.1952,8.2196,5.232e-20,6.634e-20,7.854e-20,0.0,64.37,0
BottomS03699,42.1204,8.2431,3.067e-18,5.039e-18,1.070e-17,-0.0,62.65,0
BottomS03703,42.1814,8.2232,3.153e-19,3.341e-19,2.783e-19,0.0,64.49,0
BottomS03708,42.3071,8.3647,2.229e-18,3.681e-18,7.269e-18,-0.0,63.09,0
BottomS03710,42.0898,8.2516,5.534e-14,3.893e-14,1.350e-14,0.0,63.11,0
BottomS03711,42.0151,8.2365,1.174e-19,1.413e-19,1.540e-19,0.0,63.43,0
BottomS03714,42.1447,8.3084,1.554e-19,1.738e-19,1.519e-19,0.0,62.53,0
BottomS03715,42.0875,8.2875,4.982e-20,6.356e-20,7.558e-20,-0.001,62.41,0
BottomS03717,42.1664,8.2639,1.315e-19,1.553e-19,1.597e-19,-0.0,63.32,0
BottomS03720,42.1192,8.2543,4.383e-18,3.920e-18,2.314e-18,-0.001,63.06,0
BottomS03721,42.1152,8.2414,1.271e-20,1.714e-20,2.328e-20,-0.0,63.56,0
BottomS03726,42.1211,8.2788,3.207e-20,4.050e-20,4.841e-20,0.0,62.56,0
BottomS03729,42.0988,8.0890,1.533e-19,1.694e-19,1.512e-19,0.0,65.15,0
BottomS03735,42.1690,8.2671,1.988e-19,2.255e-19,2.147e-19,0.001,63.29,0
BottomS03739,42.0408,8.2631,1.985e-19,2.137e-19,1.817e-19,-0.0,62.93,0
BottomS03740,42.1635,8.2587,1.134e-18,1.073e-18,7.252e-19,0.001,63.62,0
BottomS03744,42.0785,8.1943,1.273e-19,1.352e-19,1.142e-19,-0.0,64.48,0
BottomS03750,42.1817,8.2393,3.940e-18,7.124e-18,1.772e-17,0.0,64.15,0
BottomS03752,42.1307,8.2275,3.342e-18,6.072e-18,1.582e-17,0.001,64.49,0
BottomS03755,42.2667,8.2600,8.209e-20,9.595e-20,9.481e-20,-0.0,63.9,0
BottomS03756,42.2037,8.2889,3.419e-18,3.001e-18,1.701e-18,-0.001,63.36,0
BottomS03758,42.1094,8.2414,1.619e-18,2.973e-18,7.588e-18,0.0,63.68,0
BottomS03766,42.3716,7.8089,1.710e-20,2.386e-20,3.377e-20,0.0,65.03,0
BottomS03767,42.1173,8.1946,1.160e-13,1.032e-13,5.835e-14,0.0,64.9,1
BottomS03770,42.0909,8.3019,1.634e-13,1.258e-13,5.322e-14,0.0,62.45,1
BottomS03773,42.1331,8.2467,3.900e-14,2.735e-14,9.668e-15,0.001,63.55,0
BottomS03775,42.0692,8.2884,2.055e-19,2.262e-19,2.014e-19,0.001,62.68,0
BottomS03777,42.1128,8.1565,1.348e-18,2.445e-18,5.960e-18,0.001,65.03,0
BottomS03778,41.9969,8.2292,1.207e-20,1.698e-20,2.474e-20,-0.001,63.48,0
BottomS03783,42.1874,8.2145,3.944e-20,4.948e-20,5.624e-20,0.0,64.45,0
BottomS03784,41.8909,8.3966,5.666e-18,4.948e-18,2.739e-18,-0.0,62.68,0
BottomS03787,42.1255,8.2446,1.803e-20,2.375e-20,3.093e-20,0.001,63.0,0
BottomS03794,42.1430,8.2467,3.162e-20,4.033e-20,4.872e-20,-0.0,63.72,0
BottomS03798,42.1751,8.3080,3.079e-20,3.928e-20,4.596e-20,0.001,62.88,0
BottomS03800,42.0714,8.2765,2.218e-20,2.754e-20,3.265e-20,0.0,62.66,0
BottomS03802,42.1916,8.2728,1.221e-18,1.154e-18,7.395e-19,-0.0,63.35,0
BottomS03804,42.0541,8.1967,2.257e-20,3.044e-20,4.261e-20,0.0,64.48,0
BottomS03806,42.2899,8.2341,8.125e-18,1.799e-17,6.560e-17,-0.0,64.22,1
BottomS03816,42.2153,8.2171,2.948e-20,4.004e-20,5.504e-20,-0.0,64.38,0
BottomS03820,42.1131,8.2690,2.062e-18,3.838e-18,9.877e-18,0.0,62.71,0
BottomS03822,42.1798,8.2957,1.770e-20,2.409e-20,3.132e-20,0.0,62.97,0
BottomS03823,41.9990,8.1536,2.423e-18,3.679e-18,6.468e-18,0.0,64.22,0
BottomS03826,42.1151,8.2350,4.856e-19,4.835e-19,3.506e-19,0.0,64.17,0
BottomS03828,42.1363,8.3030,6.542e-20,7.938e-20,8.551e-20,0.0,62.44,0
BottomS03834,42.2589,8.1518,1.569e-20,2.257e-20,3.393e-20,-0.001,64.81,0
BottomS03835,42.1387,8.2821,1.113e-20,1.598e-20,2.449e-20,-0.0,62.66,0
BottomS03843,42.1488,8.3233,4.353e-20,5.256e-20,5.576e-20,-0.0,62.66,0
BottomS03847,41.9837,8.2013,1.984e-18,3.732e-18,1.038e-17,-0.001,63.97,0
BottomS03848,42.2167,8.2674,1.185e-13,8.478e-14,3.216e-14,-0.0,63.59,0
BottomS03849,42.1102,8.3690,1.011e-19,1.157e-19,1.098e-19,0.001,62.41,0
BottomS03854,42.1674,8.2402,6.820e-20,8.192e-20,8.360e-20,0.002,64.0,0
BottomS03859,42.2807,8.3367,2.661e-19,2.878e-19,2.459e-19,-0.0,63.25,0
BottomS03863,42.2220,8.3060,1.163e-20,1.655e-20,2.512e-20,0.0,63.25,0
BottomS03864,42.1466,8.2098,3.425e-18,4.766e-18,6.969e-18,0.0,64.85,0
BottomS03872,42.1315,8.2335,2.218e-18,1.995e-18,1.151e-18,-0.0,64.13,0
BottomS03876,41.9541,8.1942,4.213e-20,5.163e-20,5.653e-20,-0.0,63.85,0
BottomS03880,42.0689,8.2563,1.097e-13,7.877e-14,3.019e-14,0.0,63.14,0
BottomS03883,42.1644,8.2306,1.684e-19,1.851e-19,1.633e-19,-0.001,64.33,0
BottomS03884,42.1237,8.2639,1.085e-20,1.585e-20,2.475e-20,0.0,62.86,0
BottomS03885,42.1110,8.2249,2.179e-16,1.552e-16,5.791e-17,0.0,64.35,0
BottomS03888,42.1164,8.2312,9.271e-20,1.129e-19,1.227e-19,-0.0,64.51,0
BottomS03891,42.0768,8.2343,9.038e-20,1.076e-19,1.119e-19,0.001,63.6,0
BottomS03892,42.1054,8.2367,9.666e-18,7.724e-18,3.663e-18,0.0,63.77,0
BottomS03896,42.1485,8.2692,3.206e-19,3.338e-19,2.530e-19,0.0,62.96,0
BottomS03898,42.1328,8.2774,1.979e-20,2.577e-20,3.276e-20,-0.001,62.66,0
BottomS03900,42.0905,8.2770,2.517e-20,3.200e-20,3.763e-20,0.001,62.67,0
BottomS03901,42.0285,8.2213,2.442e-18,4.482e-18,1.196e-17,-0.0,63.64,0
BottomS03902,42.1659,8.2413,6.425e-19,6.639e-19,4.948e-19,-0.0,64.54,0
BottomS03903,42.0776,8.2420,6.824e-18,1.496e-17,5.360e-17,0.0,63.25,1
BottomS03904,42.1812,8.2231,3.891e-19,3.964e-19,2.886e-19,0.001,64.44,0
BottomS03906,42.1070,8.2430,2.788e-19,3.062e-19,2.719e-19,0.0,63.17,0
BottomS03907,42.0553,8.2586,1.865e-18,1.753e-18,1.107e-18,0.0,62.83,0
BottomS03908,42.1349,8.2139,6.385e-20,8.155e-20,9.237e-20,-0.0,64.49,0
BottomS03910,42.1354,8.2475,5.554e-19,5.881e-19,4.698e-19,0.001,63.54,0
BottomS03911,42.0662,8.1920,3.376e-19,3.355e-19,2.362e-19,0.0,64.59,0
