Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
FrontS15705,-1.4516,9.4723,4.714e-14,4.017e-14,2.056e-14,-0.001,34.72,1
FrontS15707,-1.4816,9.5022,1.139e-19,1.176e-19,8.795e-20,-0.0,35.34,0
FrontS15708,-1.4621,9.4764,5.451e-19,9.492e-19,2.179e-18,0.0,34.99,0
FrontS15712,-1.4786,9.4766,1.746e-18,2.961e-18,6.308e-18,0.001,31.83,0
FrontS15714,-1.4523,9.4784,1.200e-19,1.327e-19,1.180e-19,0.0,34.24,0
FrontS15715,-1.4719,9.4883,7.094e-20,8.238e-20,8.256e-20,-0.0,31.84,0
FrontS15718,-1.4541,9.4669,7.061e-19,6.421e-19,3.903e-19,-0.0,33.29,0
FrontS15719,-1.4607,9.4540,8.889e-20,9.216e-20,7.374e-20,0.0,33.59,0
FrontS15722,-1.4625,9.4668,8.653e-19,7.879e-19,4.552e-19,0.001,35.51,0
FrontS15723,-1.4681,9.4894,3.998e-20,4.834e-20,5.132e-20,0.0,33.7,0
FrontS15724,-1.4545,9.4673,2.882e-19,3.021e-19,2.495e-19,-0.001,35.74,0
FrontS15725,-1.4673,9.4908,7.399e-19,7.020e-19,4.749e-19,0.001,32.96,0
FrontS15726,-1.4852,9.4752,1.663e-18,1.384e-18,6.914e-19,0.001,35.36,0
FrontS15729,-1.4822,9.4692,1.932e-19,1.957e-19,1.449e-19,0.0,31.74,0
FrontS15731,-1.4642,9.4742,3.324e-18,2.735e-18,1.282e-18,0.0,32.82,0
FrontS15732,-1.4599,9.4885,1.117e-18,1.882e-18,3.867e-18,0.001,31.78,0
FrontS15734,-1.4735,9.4740,1.779e-19,1.748e-19,1.269e-19,0.0,32.03,0
FrontS15737,-1.4570,9.4850,2.442e-19,2.462e-19,1.835e-19,-0.001,34.51,0
FrontS15740,-1.4610,9.4688,2.845e-20,3.407e-20,3.580e-20,-0.0,34.17,0
FrontS15741,-1.4774,9.4668,2.168e-20,2.667e-20,2.892e-20,0.0,31.99,0
FrontS15742,-1.4792,9.4660,1.462e-17,1.095e-17,4.582e-18,0.0,32.14,1
FrontS15745,-1.4665,9.4863,1.475e-18,2.470e-18,5.163e-18,-0.0,34.66,0
FrontS15746,-1.4663,9.4696,4.344e-14,3.191e-14,1.255e-14,0.0,33.17,0
FrontS15747,-1.4609,9.4809,1.716e-18,3.019e-18,6.686e-18,0.0,34.03,0
FrontS15748,-1.4674,9.4650,1.130e-18,1.813e-18,3.501e-18,0.0,35.36,0
FrontS15749,-1.4780,9.4746,2.373e-18,2.091e-18,1.161e-18,0.001,35.7,0
FrontS15751,-1.4761,9.4790,1.853e-19,1.876e-19,1.365e-19,0.0,34.15,0
FrontS15752,-1.4540,9.4524,4.861e-14,3.714e-14,1.597e-14,-0.0,34.61,1
FrontS15755,-1.4693,9.4485,1.962e-18,1.712e-18,9.189e-19,-0.001,35.22,0
FrontS15757,-1.4421,9.4720,2.033e-19,1.966e-19,1.360e-19,0.0,34.06,0
FrontS15761,-1.4713,9.4662,4.173e-18,3.500e-18,1.828e-18,0.0,32.98,0
FrontS15763,-1.4832,9.4711,6.755e-20,7.940e-20,7.980e-20,0.0,32.31,0
FrontS15765,-1.4749,9.4649,3.909e-14,2.978e-14,1.251e-14,-0.0,33.78,1
FrontS15766,-1.4827,9.4816,2.933e-20,3.550e-20,3.653e-20,-0.0,34.21,0
FrontS15768,-1.4774,9.4753,1.044e-20,1.296e-20,1.443e-20,-0.001,35.24,0
FrontS15769,-1.4672,9.4872,2.859e-18,2.343e-18,1.185e-18,0.0,32.78,0
FrontS15770,-1.4519,9.4573,1.092e-19,1.139e-19,8.846e-20,-0.0,34.29,0
FrontS15771,-1.4695,9.4671,1.494e-19,1.548e-19,1.173e-19,-0.001,32.92,0
FrontS15772,-1.4597,9.4888,2.399e-18,2.038e-18,1.081e-18,0.0,32.71,0
FrontS15773,-1.4722,9.4703,1.250e-17,9.484e-18,3.954e-18,0.0,34.82,1
FrontS15774,-1.4534,9.4706,8.758e-19,1.409e-18,2.774e-18,0.001,32.33,0
FrontS15775,-1.4842,9.4712,5.443e-19,9.897e-19,2.552e-18,0.001,34.45,0
FrontS15778,-1.4772,9.4773,2.691e-19,2.662e-19,1.862e-19,0.0,35.05,0
FrontS15779,-1.4658,9.4608,2.422e-18,2.159e-18,1.182e-18,0.0,31.8,0
FrontS15780,-1.4808,9.4654,3.305e-20,3.854e-20,3.867e-20,0.0,34.88,0
FrontS15783,-1.4387,9.4688,2.891e-19,2.735e-19,1.728e-19,-0.0,36.05,0
FrontS15784,-1.4829,9.4894,1.979e-19,2.032e-19,1.502e-19,-0.0,35.78,0
FrontS15785,-1.4596,9.4712,3.381e-14,2.400e-14,8.695e-15,-0.0,32.32,0
FrontS15786,-1.4822,9.4853,4.919e-19,4.753e-19,3.228e-19,0.0,31.82,0
FrontS15788,-1.4791,9.4861,4.728e-14,3.454e-14,1.348e-14,-0.001,32.22,0
FrontS15789,-1.4612,9.4583,6.209e-20,6.957e-20,6.186e-20,0.002,33.16,0
FrontS15791,-1.4621,9.4681,9.558e-18,7.832e-18,3.656e-18,0.0,35.22,0
FrontS15796,-1.4730,9.4714,1.153e-18,1.034e-18,5.900e-19,0.0,35.48,0
FrontS15797,-1.4521,9.4681,1.344e-20,1.777e-20,2.177e-20,0.001,34.46,0
FrontS15803,-1.4488,9.4627,2.369e-18,3.574e-18,5.976e-18,-0.001,34.16,0
FrontS15804,-1.4616,9.4939,6.973e-19,6.563e-19,4.212e-19,-0.0,35.87,0
FrontS15805,-1.4579,9.4724,1.259e-20,1.601e-20,1.898e-20,0.0,35.65,0
FrontS15806,-1.4536,9.4665,1.861e-20,2.335e-20,2.658e-20,-0.001,31.83,0
FrontS15807,-1.4605,9.4880,7.958e-18,6.567e-18,3.265e-18,-0.0,32.58,0
FrontS15808,-1.4541,9.4614,4.648e-19,4.563e-19,3.109e-19,-0.001,34.16,0
FrontS15809,-1.4619,9.4960,1.232e-14,8.208e-15,2.713e-15,0.0,34.66,0
FrontS15810,-1.4919,9.4679,4.675e-19,4.290e-19,2.636e-19,-0.001,35.67,0
