Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
RightDG030,8.1600,29.4621,1.853e-16,1.484e-16,6.333e-17,200.896,127.63
RightDG031,8.2957,29.5915,1.737e-16,1.477e-16,6.629e-17,195.7946,128.04
RightDG036,-20.1700,25.4435,9.456e-18,8.046e-18,3.308e-18,121.0447,634.73
RightDG037,-20.0865,25.2386,1.852e-17,1.478e-17,6.786e-18,45.8265,636.24
RightDG038,-20.1697,25.4800,1.263e-17,1.075e-17,4.434e-18,52.6465,636.82
RightDG039,-20.1299,25.4720,1.396e-17,1.162e-17,5.360e-18,45.782,636.09
RightDG040,-20.1228,25.3839,1.470e-17,1.187e-17,5.069e-18,53.1276,633.99
RightDG041,-20.2301,25.6192,1.267e-17,1.052e-17,5.340e-18,54.5823,636.88
RightDG042,-20.2637,25.4660,1.198e-17,1.147e-17,4.656e-18,46.666,633.68
RightDG043,-20.3147,25.5435,1.267e-17,1.027e-17,4.678e-18,50.6926,635.49
RightDG054,17.5152,-2.1720,9.915e-17,6.810e-17,2.672e-17,236.4004,427.23
RightDG055,17.6409,-2.1089,2.511e-17,2.316e-17,1.108e-17,178.1132,424.86
RightDG056,17.6781,-2.0890,3.388e-17,2.950e-17,1.287e-17,93.3196,423.6
RightDG057,17.2669,-2.1956,3.850e-17,3.006e-17,1.384e-17,91.7814,423.19
RightDG058,17.5807,-1.9004,3.587e-17,2.699e-17,1.197e-17,82.0962,424.35
RightDG059,17.4835,-2.2492,3.529e-17,2.904e-17,1.257e-17,81.3392,425.07
RightDG060,17.6880,-1.9977,3.471e-17,2.802e-17,1.162e-17,82.0801,424.89
RightDG061,17.6872,-2.0427,3.678e-17,3.420e-17,1.395e-17,100.2215,427.15
RightDG062,17.5354,-2.0591,3.199e-17,2.905e-17,1.282e-17,85.6783,424.53
RightDG063,17.4529,-2.1363,4.405e-17,3.161e-17,1.532e-17,101.6713,427.82
RightDG075,21.6380,-8.1989,6.483e-17,5.079e-17,2.090e-17,90.5768,367.58
RightDG076,21.5560,-7.8407,5.284e-17,4.216e-17,1.725e-17,102.2974,367.33
RightDG077,21.4577,-7.8889,5.331e-17,4.439e-17,1.972e-17,89.4531,365.99
RightDG078,21.4225,-7.9763,4.829e-17,4.423e-17,1.708e-17,106.6094,367.44
RightDG079,-20.7481,-35.9388,3.593e-17,2.692e-17,8.867e-18,125.2954,703.8
