Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
RightS02529,1.9860,-7.4180,1.408e-20,1.957e-20,2.727e-20,0.001,67.35,0
RightS02535,2.0545,-7.3396,6.578e-20,7.557e-20,7.447e-20,0.0,70.23,0
RightS02539,2.0576,-7.3341,2.551e-19,2.549e-19,1.798e-19,0.0,70.26,0
RightS02541,2.0516,-7.3482,4.598e-19,4.142e-19,2.454e-19,-0.001,69.92,0
RightS02542,2.0026,-7.4666,1.939e-19,2.036e-19,1.663e-19,0.0,67.02,0
RightS02548,2.0667,-7.3397,2.126e-20,2.669e-20,3.118e-20,0.0,70.24,0
RightS02549,2.0367,-7.3553,1.119e-18,1.053e-18,6.851e-19,-0.0,68.34,0
RightS02552,2.0551,-7.3551,1.316e-20,1.687e-20,2.078e-20,-0.001,69.45,0
RightS02553,2.0801,-7.3330,3.085e-19,3.076e-19,2.305e-19,-0.0,70.09,0
RightS02557,2.0474,-7.3663,1.702e-18,3.122e-18,7.750e-18,-0.0,67.38,0
RightS02561,2.0197,-7.3403,2.413e-19,2.703e-19,2.392e-19,0.0,68.76,0
RightS02565,2.0760,-7.3276,2.905e-18,2.424e-18,1.184e-18,0.001,70.19,0
RightS02570,2.0311,-7.3431,4.792e-20,5.636e-20,5.709e-20,0.0,68.92,0
RightS02585,2.0820,-7.3363,5.956e-20,7.138e-20,7.345e-20,-0.001,69.97,0
RightS02589,2.0767,-7.3212,9.603e-20,1.092e-19,1.043e-19,-0.001,70.41,0
RightS02590,2.0494,-7.3575,2.535e-20,3.328e-20,4.069e-20,0.0,68.49,0
RightS02593,2.0684,-7.2612,1.671e-20,2.179e-20,2.839e-20,-0.001,70.21,0
RightS02594,2.0147,-7.3495,2.146e-19,2.349e-19,2.009e-19,0.001,68.42,0
RightS02595,1.9711,-7.3321,1.075e-20,1.503e-20,2.187e-20,-0.0,68.41,0
RightS02601,2.0547,-7.3519,4.894e-20,5.697e-20,5.611e-20,0.0,70.04,0
RightS02610,2.1097,-7.3239,2.905e-20,3.538e-20,3.702e-20,0.0,70.08,0
RightS02611,2.0521,-7.3587,2.287e-14,1.657e-14,6.247e-15,-0.0,68.4,0
RightS02613,2.1138,-7.3811,2.900e-18,6.157e-18,2.212e-17,-0.0,68.89,1
RightS02614,2.0347,-7.3738,1.777e-20,2.215e-20,2.505e-20,0.001,67.45,0
RightS02615,2.0868,-7.3253,1.135e-18,1.963e-18,4.302e-18,-0.001,70.2,0
RightS02616,2.1167,-7.3133,6.823e-20,7.678e-20,7.286e-20,0.001,70.04,0
RightS02617,2.0650,-7.3303,8.407e-18,6.888e-18,3.316e-18,-0.001,70.23,0
RightS02621,2.0470,-7.3642,2.211e-20,2.733e-20,3.187e-20,0.001,67.49,0
RightS02624,2.0547,-7.3691,1.778e-20,2.283e-20,2.706e-20,0.0,67.77,0
RightS02626,2.0169,-7.3597,2.580e-20,3.246e-20,3.770e-20,-0.0,68.05,0
RightS02629,2.0445,-7.3562,1.559e-20,1.960e-20,2.228e-20,-0.001,68.15,0
RightS02631,2.0527,-7.3185,3.586e-20,4.418e-20,4.852e-20,-0.001,70.11,0
RightS02635,2.0399,-7.3643,7.068e-20,7.811e-20,6.831e-20,0.001,67.65,0
RightS02638,2.0615,-7.3533,9.759e-20,1.141e-19,1.108e-19,0.0,69.75,0
RightS02647,2.0588,-7.3470,1.179e-18,1.085e-18,6.866e-19,-0.0,70.17,0
RightS02653,2.0554,-7.3827,7.936e-20,9.357e-20,9.023e-20,-0.0,67.65,0
RightS02654,1.9822,-7.2902,3.684e-19,3.664e-19,2.596e-19,-0.0,68.95,0
RightS02655,2.0342,-7.3547,7.233e-20,8.076e-20,7.068e-20,-0.0,68.23,0
RightS02658,2.0527,-7.3591,9.316e-20,1.108e-19,1.136e-19,-0.0,68.43,0
RightS02659,2.0721,-7.4070,8.654e-20,9.523e-20,8.622e-20,0.0,67.92,0
RightS02660,2.0534,-7.3479,4.956e-19,8.119e-19,1.598e-18,-0.0,70.05,0
RightS02664,2.0147,-7.3835,4.668e-18,9.763e-18,3.266e-17,-0.0,67.35,1
RightS02665,2.0425,-7.3525,1.671e-19,1.819e-19,1.554e-19,0.0,68.56,0
RightS02668,2.0285,-7.3710,6.978e-20,7.901e-20,7.310e-20,0.0,67.72,0
RightS02674,2.0602,-7.3254,1.380e-19,1.545e-19,1.410e-19,0.0,70.38,0
RightS02677,2.0926,-7.3663,7.799e-19,7.754e-19,5.435e-19,0.0,68.98,0
RightS02683,2.0502,-7.3609,1.125e-20,1.623e-20,2.593e-20,-0.0,67.35,0
RightS02684,2.0294,-7.4263,2.082e-20,2.629e-20,3.065e-20,0.001,67.15,0
RightS02686,2.0832,-7.3192,7.806e-19,7.400e-19,4.641e-19,0.0,70.41,0
RightS02687,2.0560,-7.3443,2.292e-18,3.390e-18,5.637e-18,0.001,70.23,0
RightS02695,2.0480,-7.3454,9.219e-14,7.283e-14,3.305e-14,0.001,69.63,1
RightS02696,2.0621,-7.3569,7.971e-19,7.171e-19,4.145e-19,-0.001,69.12,0
RightS02704,2.0575,-7.3287,1.477e-18,1.351e-18,8.134e-19,-0.0,70.36,0
RightS02712,2.0592,-7.3481,1.497e-20,1.859e-20,2.123e-20,0.001,70.22,0
RightS02719,2.0649,-7.3712,1.602e-20,2.099e-20,2.669e-20,0.001,68.5,0
RightS02720,2.0598,-7.3744,5.844e-18,9.098e-18,1.651e-17,0.0,68.07,0
RightS02723,2.0521,-7.3600,1.914e-20,2.394e-20,2.678e-20,-0.0,68.01,0
