Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
TopS00001,15.8149,35.9141,2.240e-19,2.342e-19,1.819e-19,-0.0,86.85,0
TopS00002,15.8378,35.9204,9.039e-19,8.216e-19,4.890e-19,-0.001,89.04,0
TopS00003,15.8287,35.9273,7.196e-19,1.435e-18,4.148e-18,-0.0,88.91,0
TopS00005,15.8265,35.9323,1.404e-18,1.205e-18,6.416e-19,0.0,86.07,0
TopS00012,15.8155,35.9448,2.153e-14,1.480e-14,5.066e-15,-0.0,86.27,0
TopS00013,15.8436,35.9228,6.488e-19,6.104e-19,3.999e-19,-0.0,86.19,0
TopS00015,15.8144,35.9311,6.779e-19,6.090e-19,3.664e-19,0.0,85.85,0
TopS00017,15.8155,35.9143,9.160e-19,8.463e-19,5.042e-19,0.0,86.7,0
TopS00019,15.8268,35.9361,2.522e-18,4.771e-18,1.233e-17,0.001,86.72,0
TopS00020,15.8243,35.9189,5.128e-18,4.021e-18,1.858e-18,-0.0,87.24,0
TopS00022,15.8374,35.9094,3.987e-20,4.910e-20,5.294e-20,-0.001,88.76,0
TopS00024,15.8303,35.9337,6.623e-18,5.309e-18,2.420e-18,0.0,86.02,1
TopS00025,15.8288,35.9272,3.337e-18,6.067e-18,1.522e-17,-0.001,86.81,0
TopS00026,15.8267,35.9118,2.957e-17,2.132e-17,8.157e-18,-0.0,86.52,0
TopS00028,15.8257,35.9317,1.371e-20,1.695e-20,1.907e-20,-0.0,85.93,0
TopS00030,15.8257,35.9021,8.227e-20,8.875e-20,7.310e-20,0.0,88.12,0
TopS00031,15.8309,35.9378,2.047e-20,2.550e-20,2.863e-20,-0.0,88.78,0
TopS00032,15.8327,35.9193,3.885e-20,4.716e-20,5.004e-20,0.001,86.89,0
TopS00033,15.8390,35.9318,8.564e-19,7.868e-19,4.807e-19,0.001,88.73,0
TopS00036,15.8299,35.9239,1.128e-18,2.034e-18,4.988e-18,0.0,88.71,0
TopS00037,15.8338,35.9345,2.008e-14,1.391e-14,4.812e-15,0.001,85.72,0
TopS00038,15.8400,35.9173,8.447e-15,5.725e-15,1.837e-15,0.0,86.92,0
TopS00040,15.8363,35.9266,2.828e-19,2.861e-19,2.092e-19,-0.001,88.83,0
TopS00043,15.8261,35.9382,3.463e-20,4.007e-20,4.027e-20,-0.0,89.0,0
TopS00045,15.8265,35.9181,1.492e-17,1.155e-17,5.070e-18,0.0,88.79,1
TopS00048,15.8374,35.9252,5.230e-19,4.782e-19,2.967e-19,-0.0,85.9,0
TopS00049,15.8312,35.9062,3.021e-19,2.994e-19,2.122e-19,-0.0,87.38,0
TopS00054,15.8390,35.9247,7.427e-14,6.086e-14,2.859e-14,0.0,89.17,1
TopS00058,15.8251,35.9169,3.208e-19,3.146e-19,2.233e-19,0.0,88.77,0
TopS00059,15.8317,35.9274,1.142e-20,1.591e-20,2.215e-20,0.0,88.12,0
TopS00061,15.8175,35.8981,2.304e-20,2.866e-20,3.357e-20,0.001,85.79,0
TopS00063,15.8246,35.9372,1.964e-14,1.323e-14,4.363e-15,0.0,85.21,0
TopS00067,15.8351,35.9155,3.369e-20,4.033e-20,4.071e-20,-0.001,88.78,0
TopS00075,15.8331,35.9520,2.648e-19,2.619e-19,1.929e-19,-0.001,85.86,0
TopS00076,15.8319,35.9343,2.669e-19,2.691e-19,1.955e-19,0.0,87.54,0
TopS00081,15.8351,35.9014,7.169e-14,5.177e-14,1.948e-14,0.0,86.09,0
TopS00084,15.8202,35.9162,2.096e-18,1.817e-18,9.944e-19,-0.0,87.42,0
TopS00089,15.8155,35.9256,2.685e-19,2.710e-19,2.015e-19,0.0,89.23,0
TopS00090,15.8338,35.9211,5.348e-19,4.824e-19,2.776e-19,-0.0,88.57,0
TopS00091,15.8327,35.9393,2.328e-18,1.958e-18,1.018e-18,-0.0,86.35,0
TopS00093,15.8275,35.9326,1.984e-20,2.483e-20,2.926e-20,-0.001,87.29,0
TopS00094,15.8202,35.9114,2.110e-20,2.471e-20,2.540e-20,0.0,88.77,0
TopS00095,15.8258,35.9316,3.966e-18,3.336e-18,1.693e-18,0.001,88.23,0
TopS00097,15.8266,35.9148,4.455e-19,4.248e-19,2.751e-19,-0.0,86.57,0
TopS00100,15.8265,35.9244,1.353e-20,1.838e-20,2.569e-20,0.0,86.21,0
TopS00102,15.8304,35.9190,7.308e-20,8.484e-20,8.254e-20,0.001,85.93,0
TopS00108,15.8126,35.9021,3.273e-19,3.349e-19,2.576e-19,0.001,86.22,0
TopS00109,15.8255,35.9160,8.270e-20,9.130e-20,8.208e-20,-0.001,89.1,0
