Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG044,-32.5149,-38.8816,6.534e-18,5.859e-18,2.506e-18,42.6011,836.65
BackDG149,-13.1305,4.4432,1.845e-17,1.770e-17,7.641e-18,86.08,476.67
BackDG150,-13.0662,4.4345,2.816e-17,2.367e-17,1.026e-17,88.2611,476.13
BackDG151,-13.0569,4.3752,2.765e-17,2.550e-17,1.132e-17,87.8626,475.64
BackDG158,0.6604,15.8068,6.483e-18,5.354e-18,2.641e-18,92.144,804.03
BackDG159,0.7234,15.7541,1.005e-17,8.256e-18,3.639e-18,45.4372,802.54
BackDG160,0.5584,15.9039,1.120e-17,8.697e-18,4.445e-18,47.0421,803.29
BackDG161,0.5450,15.8761,9.692e-18,8.229e-18,3.691e-18,43.9287,804.85
BackDG162,0.5775,15.8003,1.031e-17,8.968e-18,4.072e-18,57.4091,805.9
BackDG163,0.6535,15.8174,1.029e-17,8.573e-18,3.844e-18,43.4482,802.89
BackDG164,0.7539,15.8455,9.576e-18,8.069e-18,3.558e-18,44.0754,803.96
BackDG165,0.6227,15.8090,1.076e-17,9.134e-18,4.046e-18,49.2202,802.74
BackDG166,0.6836,15.8979,1.068e-17,8.547e-18,3.801e-18,34.5598,802.63
BackDG219,-12.0051,6.9247,8.747e-18,7.805e-18,3.612e-18,65.1511,668.45
BackDG220,-7.3330,4.2482,2.072e-17,1.666e-17,7.363e-18,174.7799,438.84
BackDG221,-7.4994,4.3728,2.869e-17,2.358e-17,9.366e-18,71.5672,440.2
BackDG222,-7.2840,4.2315,3.122e-17,2.645e-17,1.196e-17,88.917,439.54
BackDG223,-7.4381,4.2742,2.657e-17,2.273e-17,1.021e-17,76.641,437.02
BackDG224,-7.1995,4.2530,2.662e-17,1.997e-17,1.037e-17,70.1482,439.11
BackDG225,-7.3228,4.1775,3.145e-17,2.484e-17,1.076e-17,102.2181,439.23
BackDG226,-7.3288,4.2702,2.695e-17,2.262e-17,1.075e-17,84.683,437.31
BackDG234,11.2988,1.8306,9.120e-17,6.380e-17,2.598e-17,321.3591,414.05
BackDG235,11.4296,1.5788,2.279e-17,1.973e-17,8.495e-18,107.7794,412.32
BackDG236,11.4645,1.7466,3.596e-17,2.734e-17,1.261e-17,93.2379,413.61
BackDG237,11.5123,1.6746,2.459e-17,1.990e-17,8.657e-18,104.9564,410.29
BackDG238,11.2264,1.6056,4.912e-17,3.480e-17,1.513e-17,86.2686,410.82
BackDG239,11.2257,1.9137,3.684e-17,2.731e-17,1.398e-17,89.37,409.16
BackDG240,11.4955,1.8884,3.473e-17,3.061e-17,1.233e-17,97.3745,413.05
BackDG241,11.2438,1.8747,3.532e-17,3.011e-17,1.373e-17,106.9202,413.14
BackDG242,11.3742,1.5499,3.539e-17,2.685e-17,1.222e-17,72.8797,414.5
BackDG243,11.4549,2.0361,3.121e-17,2.657e-17,1.221e-17,77.6568,409.4
BackDG244,11.0768,1.6035,3.369e-17,2.774e-17,1.178e-17,90.0211,409.4
BackDG314,22.2525,14.3652,2.079e-17,1.693e-17,7.850e-18,122.5705,449.25
BackDG315,22.3279,14.2519,2.656e-17,2.257e-17,9.347e-18,74.8286,449.64
BackDG316,22.3656,14.2796,2.668e-17,2.190e-17,1.011e-17,84.7056,450.07
BackDG317,22.2240,14.2574,2.741e-17,2.307e-17,1.121e-17,97.3008,448.14
BackDG318,22.2515,14.2310,2.559e-17,2.109e-17,8.785e-18,69.1156,447.67
BackDG319,22.1411,14.4318,2.526e-17,1.978e-17,8.839e-18,74.5763,449.57
BackDG348,-6.2691,-4.2309,1.169e-17,9.631e-18,4.106e-18,61.8359,636.83
BackDG548,6.0441,-2.0932,3.578e-17,3.000e-17,1.012e-17,141.3458,705.96
BackDG549,5.9584,-2.0616,1.312e-17,1.036e-17,5.231e-18,48.4532,705.08
BackDG550,6.2597,-2.1000,1.202e-17,1.038e-17,4.452e-18,60.3345,700.85
BackDG551,6.0499,-1.9624,1.301e-17,1.185e-17,5.071e-18,53.4911,706.56
BackDG552,5.9072,-2.0870,1.078e-17,1.009e-17,4.242e-18,43.6418,702.58
BackDG553,6.1154,-2.2172,1.294e-17,1.041e-17,5.004e-18,56.9989,700.79
BackDG554,5.9261,-2.2197,1.322e-17,1.028e-17,4.972e-18,49.5656,704.27
BackDG555,6.1851,-1.9718,1.326e-17,1.154e-17,5.561e-18,58.0286,704.04
BackDG556,6.0168,-2.1260,1.221e-17,9.341e-18,4.313e-18,46.0635,702.91
BackDG557,6.1895,-2.1965,1.088e-17,9.665e-18,4.329e-18,43.5702,702.92
BackDG558,6.1081,-2.0098,8.643e-18,6.924e-18,3.194e-18,86.9069,700.97
BackDG559,6.0635,-2.1482,8.014e-18,6.959e-18,3.177e-18,101.1916,704.08
BackDG560,6.1650,-1.9602,1.263e-17,1.099e-17,5.424e-18,55.1015,705.05
BackDG561,6.1234,-1.8878,1.314e-17,1.005e-17,5.120e-18,52.8337,703.08
BackDG562,6.1439,-1.9255,1.272e-17,1.086e-17,5.340e-18,50.2552,706.17
BackDG563,38.1271,13.3466,5.741e-17,4.306e-17,1.434e-17,154.4084,542.84
BackDG564,38.8636,13.5858,2.024e-17,1.760e-17,6.889e-18,52.841,545.81
