Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG003,43.5204,25.8426,2.951e-17,2.219e-17,8.630e-18,130.5225,764.87
FrontDG004,43.3271,25.6595,1.094e-17,9.056e-18,3.758e-18,41.5983,768.78
FrontDG005,43.4884,26.0220,9.020e-18,6.691e-18,3.014e-18,82.6038,767.55
FrontDG006,43.8069,25.7197,1.067e-17,1.037e-17,4.493e-18,50.3246,764.05
FrontDG007,44.0534,26.1024,1.620e-17,1.187e-17,4.981e-18,41.5647,763.1
FrontDG008,43.6114,26.1201,9.698e-18,8.502e-18,3.791e-18,43.7474,768.91
FrontDG009,43.9166,26.0248,1.168e-17,8.658e-18,3.923e-18,49.8641,769.67
FrontDG010,43.5193,26.0552,1.163e-17,9.067e-18,4.493e-18,52.7762,763.68
FrontDG011,43.5138,26.1587,1.043e-17,8.052e-18,3.729e-18,37.6407,770.51
FrontDG012,43.3649,25.6928,1.083e-17,9.719e-18,4.174e-18,51.0495,768.23
FrontDG013,43.4984,25.9977,1.133e-17,9.947e-18,4.192e-18,40.9884,771.08
FrontDG014,43.3000,25.6095,7.113e-18,6.397e-18,2.930e-18,50.3001,768.76
FrontDG015,43.1021,25.6068,9.837e-18,9.142e-18,3.785e-18,43.0093,763.63
FrontDG016,44.0032,26.1839,1.249e-17,9.457e-18,3.958e-18,59.0764,770.41
FrontDG017,43.0855,25.8539,1.009e-17,8.462e-18,3.956e-18,43.6579,767.17
FrontDG018,43.4304,26.0625,1.116e-17,9.521e-18,4.515e-18,47.1279,766.73
FrontDG019,43.2209,26.0356,1.034e-17,8.593e-18,3.891e-18,40.3993,769.34
FrontDG020,44.0021,26.0323,9.244e-18,8.743e-18,3.700e-18,41.7596,770.0
FrontDG066,18.1500,-39.6471,1.693e-17,1.376e-17,5.634e-18,172.9205,495.11
FrontDG067,17.9908,-39.6598,3.361e-17,2.405e-17,9.858e-18,65.948,493.02
FrontDG068,18.1568,-39.8004,2.551e-17,2.007e-17,9.443e-18,70.621,495.24
FrontDG069,18.1927,-39.8320,2.422e-17,1.699e-17,8.688e-18,69.8812,493.48
FrontDG070,17.9966,-39.5282,2.260e-17,1.972e-17,8.931e-18,75.0433,494.19
FrontDG071,17.8635,-39.4139,2.569e-17,2.010e-17,9.298e-18,85.5833,496.07
FrontDG072,18.0702,-39.4418,2.548e-17,2.070e-17,8.245e-18,65.6825,492.13
FrontDG073,18.4129,-39.4259,3.590e-17,2.528e-17,1.118e-17,80.9845,492.4
FrontDG107,18.3543,3.1568,2.984e-17,2.254e-17,8.596e-18,131.1472,802.34
