Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
LeftDG021,-36.0029,40.1455,3.230e-17,2.651e-17,1.167e-17,234.6124,342.68
LeftDG022,-36.6171,40.9035,4.645e-17,4.062e-17,1.713e-17,94.943,340.81
LeftDG023,-35.5729,40.2719,4.980e-17,4.355e-17,1.866e-17,131.9453,341.53
LeftDG024,-35.3071,40.0887,4.997e-17,4.105e-17,1.886e-17,139.0306,342.47
LeftDG025,-36.5274,40.6344,7.192e-17,5.698e-17,2.149e-17,98.6316,344.06
LeftDG026,-36.3608,40.4040,5.311e-17,4.334e-17,1.973e-17,100.4055,344.24
LeftDG027,-35.7105,40.5902,4.916e-17,4.033e-17,1.929e-17,143.5914,341.98
LeftDG028,-36.2493,40.1882,5.121e-17,3.948e-17,1.705e-17,101.8633,344.01
LeftDG029,-35.8989,40.3272,5.831e-17,4.441e-17,2.088e-17,110.1117,343.04
LeftDG032,2.0446,-13.2187,2.011e-17,1.768e-17,7.873e-18,103.1709,413.8
LeftDG033,2.2430,-13.1953,2.233e-17,1.533e-17,8.431e-18,80.5657,413.79
LeftDG034,2.0835,-13.2990,2.108e-17,1.637e-17,7.421e-18,104.1223,413.56
LeftDG035,2.0431,-13.2206,2.911e-17,2.314e-17,1.030e-17,71.1083,414.56
LeftDG074,-41.7757,-44.5385,1.263e-17,9.640e-18,4.709e-18,68.1907,572.15
LeftDG117,-43.2404,-18.2208,3.054e-17,2.148e-17,7.504e-18,108.4644,824.39
LeftDG118,-42.8904,-18.0542,9.735e-18,8.737e-18,4.147e-18,39.8564,830.44
LeftDG119,-43.3766,-18.4229,7.136e-18,6.522e-18,3.098e-18,49.6766,829.97
LeftDG120,-43.1145,-18.3093,1.152e-17,9.610e-18,4.131e-18,53.405,828.25
LeftDG121,-43.5531,-18.1720,1.029e-17,7.894e-18,3.749e-18,36.8508,824.19
LeftDG122,-43.3467,-18.0893,1.052e-17,8.304e-18,4.147e-18,42.9209,825.92
LeftDG123,-43.4500,-18.1945,8.524e-18,6.039e-18,3.129e-18,75.2104,824.62
LeftDG124,-43.4465,-18.1189,1.070e-17,8.762e-18,4.395e-18,52.9571,825.06
LeftDG125,-43.4521,-18.1697,1.088e-17,9.058e-18,3.898e-18,44.8138,824.15
LeftDG126,-43.2451,-18.1586,1.029e-17,8.687e-18,3.811e-18,42.5854,830.22
LeftDG127,-43.1862,-18.5154,1.221e-17,9.716e-18,4.349e-18,50.1396,828.53
LeftDG128,-43.2806,-18.0013,1.026e-17,8.175e-18,3.764e-18,38.4593,825.88
LeftDG129,-43.4246,-18.2593,6.544e-18,6.184e-18,2.299e-18,86.644,829.75
LeftDG130,-42.8636,-18.1080,1.037e-17,8.037e-18,4.047e-18,50.2148,824.03
LeftDG131,-43.1860,-17.9971,9.696e-18,8.670e-18,3.926e-18,37.9963,827.55
LeftDG152,-17.0473,28.3478,9.894e-18,8.425e-18,3.692e-18,88.9717,763.01
LeftDG153,-17.0059,28.2903,1.306e-17,1.117e-17,5.252e-18,59.7096,764.39
LeftDG154,-17.1554,28.3228,1.295e-17,1.042e-17,4.879e-18,58.1529,764.13
LeftDG155,-17.0444,28.2677,1.293e-17,1.180e-17,5.146e-18,53.8932,764.76
LeftDG156,-17.0010,28.4588,1.249e-17,1.100e-17,4.939e-18,58.8562,763.34
LeftDG157,-17.0518,28.3216,1.180e-17,9.574e-18,4.331e-18,41.5616,764.44
LeftDG167,21.6481,6.9079,3.904e-17,3.291e-17,1.508e-17,86.4695,341.44
LeftDG168,21.6739,6.7805,4.804e-17,3.684e-17,1.592e-17,113.7566,341.49
LeftDG169,21.6102,6.7035,3.092e-17,2.271e-17,1.109e-17,99.1147,341.84
LeftDG210,-33.6306,-10.3071,8.291e-18,6.797e-18,3.265e-18,76.3504,702.79
LeftDG211,-33.6858,-10.2978,1.179e-17,9.914e-18,4.309e-18,52.6678,702.69
LeftDG212,-33.6621,-10.2078,1.578e-17,1.352e-17,5.652e-18,47.8516,703.88
LeftDG213,-33.7382,-10.2425,8.169e-18,6.944e-18,3.330e-18,64.7747,702.85
LeftDG214,-33.6466,-10.2492,1.164e-17,9.029e-18,4.148e-18,41.3459,704.29
