Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
LeftS10786,30.4014,44.9974,3.192e-20,3.865e-20,4.047e-20,0.0,79.91,0
LeftS10821,30.1076,44.9401,1.458e-20,1.924e-20,2.418e-20,-0.0,77.97,0
LeftS11511,30.2025,44.9981,2.449e-16,1.693e-16,5.954e-17,-0.001,78.32,0
LeftS11512,30.2100,44.9895,7.056e-19,1.282e-18,3.045e-18,-0.0,78.42,0
LeftS11513,30.2166,44.9925,5.179e-18,4.178e-18,1.962e-18,0.0,78.53,0
LeftS11516,30.2375,44.9725,2.965e-17,2.281e-17,9.630e-18,-0.0,78.67,0
LeftS11519,30.2590,44.9698,3.776e-18,3.159e-18,1.606e-18,0.001,78.89,0
LeftS11520,30.2641,44.9795,6.119e-19,1.105e-18,2.661e-18,0.001,79.04,0
LeftS11522,30.2888,44.9876,1.947e-16,1.311e-16,4.463e-17,0.0,79.07,0
LeftS11525,30.3175,44.9597,2.652e-18,2.198e-18,1.142e-18,-0.0,79.48,0
LeftS11655,30.3178,44.9957,2.856e-17,2.075e-17,8.040e-18,0.001,79.4,0
LeftS11728,30.1852,44.9878,2.677e-17,1.966e-17,7.415e-18,0.0,78.14,0
LeftS11729,30.1778,44.9645,3.501e-20,4.316e-20,4.715e-20,0.0,78.26,0
LeftS11730,30.2172,44.9838,2.005e-19,3.481e-19,8.084e-19,0.0,78.61,0
LeftS11732,30.2189,44.9687,8.027e-17,5.842e-17,2.267e-17,-0.001,78.5,0
LeftS11734,30.2377,44.9923,1.002e-20,1.339e-20,1.753e-20,-0.001,78.53,0
LeftS11735,30.2332,44.9932,2.084e-17,1.665e-17,7.576e-18,-0.0,78.43,0
LeftS11737,30.2528,44.9554,1.225e-17,9.682e-18,4.266e-18,-0.001,78.86,1
LeftS11739,30.2779,44.9670,2.761e-19,2.841e-19,2.133e-19,0.0,78.82,0
LeftS11740,30.2826,44.9707,1.037e-18,9.282e-19,5.267e-19,-0.0,79.24,0
LeftS11746,30.3141,44.9665,2.180e-18,4.933e-18,1.941e-17,0.0,79.44,1
LeftS11747,30.3219,44.9610,9.002e-18,7.185e-18,3.349e-18,0.0,79.4,0
LeftS11748,30.3288,44.9690,1.245e-19,1.344e-19,1.083e-19,0.001,79.37,0
LeftS11751,30.3499,44.9843,4.010e-20,5.179e-20,6.068e-20,0.0,79.58,0
LeftS11752,30.3513,44.9717,1.827e-20,2.186e-20,2.227e-20,0.001,79.78,0
LeftS11757,30.3981,44.9667,7.707e-19,7.189e-19,4.436e-19,-0.0,80.0,0
LeftS11758,30.3974,44.9857,2.048e-18,1.740e-18,8.939e-19,-0.0,80.11,0
LeftS45641,3.4506,11.4649,8.835e-20,1.587e-19,3.814e-19,0.0,-1.75,0
LeftS45642,3.4167,11.0459,1.686e-18,2.164e-18,2.537e-18,0.001,-6.77,0
LeftS45644,3.7704,11.0931,2.528e-18,3.250e-18,4.158e-18,0.001,-5.6,0
LeftS45645,4.0635,11.0363,4.425e-18,5.684e-18,6.915e-18,0.001,-5.25,0
LeftS45646,3.5412,11.5272,4.265e-18,5.503e-18,6.612e-18,0.001,-7.72,0
LeftS45647,3.6192,10.7595,1.527e-17,1.624e-17,1.313e-17,-0.0,-3.24,0
LeftS45648,3.3454,11.4302,4.465e-16,7.425e-16,1.565e-15,0.0,-6.51,0
LeftS45649,3.0760,11.5085,1.252e-16,1.869e-16,3.121e-16,-0.0,-3.53,0
LeftS45650,3.3765,11.2424,6.555e-16,5.652e-16,3.021e-16,0.0,-6.45,0
LeftS45651,3.6926,11.6471,2.328e-17,3.452e-17,5.737e-17,0.0,-5.76,0
LeftS45652,3.5506,10.7266,2.284e-19,3.861e-19,8.072e-19,0.001,-7.92,0
LeftS45655,3.9825,11.5359,6.270e-12,4.452e-12,1.586e-12,0.001,-8.22,0
LeftS45656,3.5575,11.3457,6.570e-20,1.270e-19,3.647e-19,0.0,-7.13,0
LeftS45658,3.8957,11.0520,1.206e-18,1.623e-18,2.112e-18,0.001,-7.9,0
LeftS45659,3.9936,11.4263,4.135e-16,6.728e-16,1.319e-15,0.0,-3.27,0
LeftS45660,3.6864,11.6793,1.237e-16,1.850e-16,3.133e-16,0.001,-5.09,0
LeftS45662,3.6306,11.8487,6.460e-16,5.232e-16,2.555e-16,0.0,-7.06,0
